,Sliding Speed,Friction Factor
0,4.695e-06,0.00964
1,4.79e-06,0.02135
2,4.875e-06,0.032350000000000004
3,4.965e-06,0.0431
4,5.06e-06,0.05385
5,5.15e-06,0.06455
6,5.255e-06,0.07515
7,5.345e-06,0.08565
8,5.45e-06,0.09635
9,5.55e-06,0.10715
10,5.645e-06,0.1172
11,5.75e-06,0.1275
12,5.865e-06,0.1375
13,5.98e-06,0.147
14,6.08e-06,0.157
15,6.195e-06,0.166
16,6.315e-06,0.1755
17,6.425e-06,0.184
18,6.545e-06,0.1925
19,6.665e-06,0.2005
20,6.785e-06,0.208
21,6.905e-06,0.216
22,7.04e-06,0.2235
23,7.18e-06,0.2305
24,7.31e-06,0.2375
25,7.45e-06,0.2445
26,7.57e-06,0.25
27,7.72e-06,0.2565
28,7.86e-06,0.263
29,8.004999999999999e-06,0.26849999999999996
30,8.16e-06,0.274
31,8.315000000000001e-06,0.28
32,8.465000000000001e-06,0.2845
33,8.62e-06,0.2895
34,8.78e-06,0.29500000000000004
35,8.945e-06,0.2995
36,9.11e-06,0.3055
37,9.28e-06,0.31
38,9.45e-06,0.315
39,9.625e-06,0.3195
40,9.8e-06,0.3235
41,9.98e-06,0.3265
42,1.02e-05,0.331
43,1.04e-05,0.3355
44,1.0549999999999999e-05,0.3395
45,1.07e-05,0.3435
46,1.09e-05,0.346
47,1.115e-05,0.349
48,1.135e-05,0.3505
49,1.16e-05,0.3545
50,1.18e-05,0.358
51,1.2e-05,0.3605
52,1.22e-05,0.364
53,1.2450000000000001e-05,0.3675
54,1.27e-05,0.37
55,1.29e-05,0.3725
56,1.3150000000000001e-05,0.3765
57,1.34e-05,0.3795
58,1.365e-05,0.383
59,1.39e-05,0.386
60,1.42e-05,0.3885
61,1.44e-05,0.391
62,1.47e-05,0.394
63,1.4950000000000001e-05,0.396
64,1.52e-05,0.39849999999999997
65,1.55e-05,0.40049999999999997
66,1.58e-05,0.40349999999999997
67,1.61e-05,0.40549999999999997
68,1.64e-05,0.4075
69,1.67e-05,0.41000000000000003
70,1.7e-05,0.4125
71,1.73e-05,0.41500000000000004
72,1.7650000000000002e-05,0.41800000000000004
73,1.8e-05,0.4205
74,1.83e-05,0.422
75,1.86e-05,0.4245
76,1.9e-05,0.427
77,1.93e-05,0.429
78,1.97e-05,0.4315
79,2.01e-05,0.4335
80,2.04e-05,0.436
81,2.08e-05,0.4375
82,2.12e-05,0.4385
83,2.16e-05,0.44
84,2.2e-05,0.442
85,2.24e-05,0.4445
86,2.28e-05,0.447
87,2.32e-05,0.4495
88,2.37e-05,0.4515
89,2.41e-05,0.4535
90,2.46e-05,0.455
91,2.5e-05,0.45799999999999996
92,2.55e-05,0.4605
93,2.59e-05,0.46199999999999997
94,2.64e-05,0.46399999999999997
95,2.69e-05,0.46599999999999997
96,2.74e-05,0.4675
97,2.79e-05,0.46799999999999997
98,2.84e-05,0.469
99,2.9e-05,0.47050000000000003
100,2.95e-05,0.47150000000000003
101,3.01e-05,0.473
102,3.06e-05,0.475
103,3.12e-05,0.47650000000000003
104,3.18e-05,0.47750000000000004
105,3.24e-05,0.479
106,3.295e-05,0.48
107,3.36e-05,0.481
108,3.42e-05,0.48350000000000004
109,3.48e-05,0.4855
110,3.55e-05,0.4865
111,3.61e-05,0.4875
112,3.68e-05,0.489
113,3.75e-05,0.4905
114,3.82e-05,0.491
115,3.89e-05,0.4945
116,3.96e-05,0.496
117,4.03e-05,0.4965
118,4.11e-05,0.4975
119,4.18e-05,0.4985
120,4.26e-05,0.5005
121,4.34e-05,0.5025
122,4.42e-05,0.5045
123,4.5e-05,0.5055000000000001
124,4.59e-05,0.507
125,4.67e-05,0.5075000000000001
126,4.76e-05,0.5095000000000001
127,4.85e-05,0.51
128,4.935e-05,0.512
129,5.03e-05,0.514
130,5.12e-05,0.515
131,5.21e-05,0.515
132,5.31e-05,0.518
133,5.41e-05,0.5205
134,5.51e-05,0.521
135,5.61e-05,0.523
136,5.72e-05,0.5245
137,5.82e-05,0.525
138,5.93e-05,0.529
139,6.04e-05,0.5315000000000001
140,6.155e-05,0.533
141,6.27e-05,0.534
142,6.38e-05,0.536
143,6.5e-05,0.538
144,6.62e-05,0.539
145,6.745e-05,0.5415
146,6.87e-05,0.5415
147,7e-05,0.5435
148,7.13e-05,0.5429999999999999
149,7.26e-05,0.5455
150,7.39e-05,0.5475
151,7.53e-05,0.55
152,7.67e-05,0.5495
153,7.81e-05,0.5495
154,7.96e-05,0.5509999999999999
155,8.1e-05,0.5515
156,8.25e-05,0.554
157,8.41e-05,0.556
158,8.56e-05,0.5565
159,8.72e-05,0.5585
160,8.88e-05,0.5595
161,9.05e-05,0.56
162,9.22e-05,0.5589999999999999
163,9.39e-05,0.5605
164,9.56e-05,0.5605
165,9.74e-05,0.5605
166,9.92e-05,0.5625
167,0.000101,0.5625
168,0.000103,0.562
169,0.000105,0.56
170,0.000107,0.562
171,0.000109,0.5605
172,0.000111,0.5615
173,0.000113,0.5615
174,0.000115,0.563
175,0.000117,0.5615
176,0.000119,0.5640000000000001
177,0.000121,0.5635
178,0.000124,0.5645
179,0.000126,0.5640000000000001
180,0.000128,0.5615
181,0.000131,0.56
182,0.000133,0.5635
183,0.000136,0.5680000000000001
184,0.000138,0.5680000000000001
185,0.000141,0.5655
186,0.000143,0.569
187,0.000146,0.569
188,0.000149,0.567
189,0.000151,0.567
190,0.000154,0.5695
191,0.000157,0.5715
192,0.00016,0.571
193,0.000163,0.5715
194,0.000166,0.573
195,0.000169,0.5695
196,0.000172,0.5685
197,0.000175,0.569
198,0.000179,0.567
199,0.000182,0.5655
200,0.000185,0.5655
201,0.000189,0.5635
202,0.000192,0.5660000000000001
203,0.000196,0.5615
204,0.000199,0.5575
205,0.000203,0.554
206,0.000207,0.552
207,0.000211,0.5509999999999999
208,0.000215,0.5505
209,0.0002185,0.5495
210,0.000223,0.5505
211,0.000227,0.55
212,0.000231,0.5485
213,0.000235,0.55
214,0.00024,0.5485
215,0.000244,0.5455
216,0.0002485,0.5449999999999999
217,0.000253,0.5469999999999999
218,0.000258,0.55
219,0.000263,0.5515
220,0.000267,0.5515
221,0.000272,0.5535
222,0.000277,0.5529999999999999
223,0.000283,0.546
224,0.000288,0.5465
225,0.000293,0.5489999999999999
226,0.000299,0.5489999999999999
227,0.000304,0.5509999999999999
228,0.00031,0.552
229,0.000315,0.5529999999999999
230,0.000321,0.5525
231,0.000327,0.5525
232,0.000333,0.5585
233,0.00034,0.5595
234,0.000346,0.5605
235,0.000352,0.5589999999999999
236,0.000359,0.5605
237,0.000365,0.5589999999999999
238,0.000372,0.5555
239,0.000379,0.554
240,0.000386,0.5525
241,0.000393,0.5485
242,0.000401,0.55
243,0.000408,0.5485
244,0.000416,0.548
245,0.000423,0.546
246,0.000431,0.548
247,0.000439,0.5485
248,0.000447,0.544
249,0.000456,0.5429999999999999
250,0.000464,0.5425
251,0.000473,0.5435
252,0.000481,0.5435
253,0.00049,0.5415
254,0.000499,0.5429999999999999
255,0.000509,0.5425
256,0.000518,0.5425
257,0.000528,0.5385
258,0.000537,0.536
259,0.000547,0.5325
260,0.000558,0.53
261,0.000568,0.524
262,0.000578,0.524
263,0.000589,0.5215
264,0.0006,0.5255
265,0.000611,0.5275
266,0.000622,0.521
267,0.000634,0.5185
268,0.000646,0.5165
269,0.000658,0.515
270,0.00067,0.516
271,0.000682,0.5205
272,0.000695,0.5235
273,0.000708,0.522
274,0.000721,0.517
275,0.000734,0.5115
276,0.000748,0.5135
277,0.000762,0.5115
278,0.000776,0.5095000000000001
