,Sliding Speed,Friction Factor
0,4.725e-06,0.1665
1,4.795e-06,0.268
2,4.875e-06,0.3155
3,4.975e-06,0.3355
4,5.06e-06,0.34099999999999997
5,5.155e-06,0.346
6,5.26e-06,0.35150000000000003
7,5.34e-06,0.355
8,5.455e-06,0.35750000000000004
9,5.5299999999999996e-06,0.35650000000000004
10,5.635e-06,0.362
11,5.77e-06,0.369
12,5.855e-06,0.3745
13,5.9749999999999995e-06,0.379
14,6.065e-06,0.38
15,6.195e-06,0.3915
16,6.3e-06,0.398
17,6.45e-06,0.404
18,6.46e-06,0.40449999999999997
19,6.655e-06,0.4085
20,6.805e-06,0.4065
21,6.915e-06,0.403
22,7.025e-06,0.39949999999999997
23,7.18e-06,0.39749999999999996
24,7.235e-06,0.397
25,7.45e-06,0.393
26,7.595e-06,0.391
27,7.73e-06,0.392
28,7.86e-06,0.391
29,8.004999999999999e-06,0.38849999999999996
30,8.145e-06,0.3875
31,8.31e-06,0.389
32,8.45e-06,0.38749999999999996
33,8.625e-06,0.3835
34,8.78e-06,0.382
35,8.945e-06,0.3845
36,9.104999999999998e-06,0.386
37,9.274999999999998e-06,0.391
38,9.455e-06,0.39449999999999996
39,9.62e-06,0.399
40,9.804999999999998e-06,0.40549999999999997
41,9.990000000000001e-06,0.4145
42,1.02e-05,0.41600000000000004
43,1.04e-05,0.4195
44,1.06e-05,0.4195
45,1.075e-05,0.42100000000000004
46,1.095e-05,0.41800000000000004
47,1.115e-05,0.4115
48,1.135e-05,0.4115
49,1.155e-05,0.4135
50,1.18e-05,0.414
51,1.2e-05,0.408
52,1.22e-05,0.406
53,1.25e-05,0.403
54,1.27e-05,0.402
55,1.29e-05,0.40249999999999997
56,1.3150000000000001e-05,0.405
57,1.34e-05,0.4045
58,1.37e-05,0.404
59,1.39e-05,0.404
60,1.415e-05,0.4065
61,1.44e-05,0.4115
62,1.47e-05,0.414
63,1.4950000000000001e-05,0.408
64,1.52e-05,0.404
65,1.55e-05,0.405
66,1.58e-05,0.40149999999999997
67,1.61e-05,0.3885
68,1.64e-05,0.3795
69,1.67e-05,0.373
70,1.7e-05,0.3655
71,1.73e-05,0.365
72,1.76e-05,0.3675
73,1.8e-05,0.368
74,1.83e-05,0.3705
75,1.865e-05,0.3735
76,1.9e-05,0.369
77,1.93e-05,0.369
78,1.97e-05,0.377
79,2.01e-05,0.38049999999999995
