"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.0000047","0.0963","0.138","1.01"
"2","0.00000479","0.0929","0.134","1.02"
"3","0.00000487","0.0927","0.134","1.02"
"4","0.00000497","0.0938","0.136","1.02"
"5","0.00000507","0.0952","0.138","1.03"
"6","0.00000515","0.0975","0.142","1.03"
"7","0.00000521","0.0977","0.141","1.02"
"8","0.00000535","0.1","0.145","1.03"
"9","0.00000546","0.101","0.146","1.02"
"10","0.00000556","0.1","0.143","1.01"
"11","0.00000564","0.1","0.144","1.02"
"12","0.00000576","0.101","0.146","1.02"
"13","0.00000586","0.101","0.146","1.02"
"14","0.00000597","0.102","0.147","1.02"
"15","0.00000609","0.102","0.148","1.02"
"16","0.00000619","0.104","0.151","1.02"
"17","0.00000631","0.107","0.155","1.02"
"18","0.00000643","0.109","0.158","1.03"
"19","0.00000655","0.11","0.159","1.03"
"20","0.00000667","0.111","0.16","1.02"
"21","0.00000678","0.112","0.163","1.02"
"22","0.00000691","0.113","0.164","1.03"
"23","0.00000705","0.112","0.163","1.03"
"24","0.00000717","0.113","0.164","1.03"
"25","0.00000732","0.112","0.162","1.02"
"26","0.00000744","0.113","0.163","1.02"
"27","0.00000758","0.113","0.163","1.02"
"28","0.00000772","0.114","0.166","1.03"
"29","0.00000786","0.115","0.168","1.03"
"30","0.00000801","0.115","0.167","1.03"
"31","0.00000814","0.115","0.167","1.03"
"32","0.00000831","0.114","0.164","1.02"
"33","0.00000847","0.113","0.162","1.02"
"34","0.00000862","0.112","0.161","1.02"
"35","0.00000878","0.11","0.158","1.02"
"36","0.00000894","0.109","0.158","1.02"
"37","0.00000911","0.107","0.154","1.02"
"38","0.00000928","0.106","0.152","1.02"
"39","0.00000944","0.103","0.149","1.02"
"40","0.00000963","0.103","0.148","1.02"
"41","0.00000981","0.102","0.146","1.01"
"42","0.00000998","0.0994","0.142","1.01"
"43","0.0000102","0.0995","0.142","1.01"
"44","0.0000104","0.0994","0.142","1.01"
"45","0.0000106","0.1","0.143","1.01"
"46","0.0000107","0.101","0.145","1.01"
"47","0.0000109","0.103","0.147","1.01"
"48","0.0000111","0.102","0.146","1.01"
"49","0.0000114","0.1","0.144","1.01"
"50","0.0000116","0.0991","0.142","1.01"
"51","0.0000118","0.0994","0.143","1.02"
"52","0.000012","0.0965","0.139","1.02"
"53","0.0000122","0.0953","0.137","1.02"
"54","0.0000124","0.0935","0.134","1.02"
"55","0.0000127","0.0928","0.133","1.02"
"56","0.0000129","0.0914","0.131","1.02"
"57","0.0000132","0.0919","0.132","1.02"
"58","0.0000134","0.0931","0.134","1.02"
"59","0.0000136","0.0913","0.131","1.02"
"60","0.0000139","0.0915","0.131","1.02"
"61","0.0000142","0.0906","0.13","1.02"
"62","0.0000144","0.0865","0.124","1.01"
"63","0.0000147","0.0819","0.117","1.01"
"64","0.000015","0.0786","0.112","1.01"
