"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.0000047","0.11","0.155","0.995"
"2","0.00000478","0.119","0.168","0.996"
"3","0.00000489","0.126","0.177","0.996"
"4","0.00000498","0.132","0.185","0.996"
"5","0.00000506","0.135","0.191","0.998"
"6","0.00000516","0.14","0.197","0.998"
"7","0.00000524","0.142","0.2","0.998"
"8","0.00000535","0.145","0.204","0.998"
"9","0.00000544","0.148","0.208","0.998"
"10","0.00000555","0.15","0.212","0.998"
"11","0.00000565","0.152","0.215","0.997"
"12","0.00000575","0.154","0.217","0.996"
"13","0.00000587","0.155","0.218","0.995"
"14","0.00000597","0.156","0.22","0.994"
"15","0.00000608","0.156","0.22","0.993"
"16","0.00000619","0.154","0.216","0.992"
"17","0.00000632","0.153","0.215","0.992"
"18","0.00000642","0.15","0.21","0.991"
"19","0.00000654","0.148","0.207","0.989"
"20","0.00000667","0.15","0.209","0.987"
"21","0.00000679","0.151","0.21","0.985"
"22","0.00000692","0.151","0.211","0.984"
"23","0.00000704","0.153","0.212","0.983"
"24","0.00000718","0.154","0.214","0.982"
"25","0.00000731","0.154","0.214","0.981"
"26","0.00000744","0.155","0.215","0.98"
"27","0.00000758","0.153","0.212","0.979"
"28","0.00000773","0.152","0.211","0.978"
"29","0.00000787","0.152","0.211","0.977"
"30","0.000008","0.151","0.208","0.976"
"31","0.00000816","0.149","0.205","0.975"
"32","0.00000831","0.147","0.202","0.977"
"33","0.00000845","0.143","0.199","0.982"
"34","0.00000863","0.14","0.195","0.987"
"35","0.00000878","0.137","0.192","0.988"
"36","0.00000894","0.136","0.19","0.989"
"37","0.00000911","0.132","0.184","0.991"
"38","0.00000928","0.127","0.178","0.993"
"39","0.00000944","0.125","0.176","0.995"
"40","0.00000963","0.125","0.176","0.997"
"41","0.00000981","0.123","0.174","0.999"
"42","0.00000999","0.122","0.172","1"
"43","0.0000102","0.12","0.17","1"
"44","0.0000104","0.118","0.168","1"
"45","0.0000106","0.118","0.167","1.01"
"46","0.0000107","0.118","0.168","1.01"
"47","0.0000109","0.118","0.169","1.01"
"48","0.0000112","0.12","0.171","1.01"
"49","0.0000113","0.12","0.171","1.01"
"50","0.0000116","0.119","0.17","1.01"
"51","0.0000118","0.118","0.168","1.01"
"52","0.000012","0.117","0.167","1.01"
"53","0.0000122","0.115","0.166","1.01"
"54","0.0000124","0.113","0.163","1.01"
"55","0.0000127","0.111","0.159","1.01"
"56","0.0000129","0.11","0.158","1.02"
"57","0.0000132","0.109","0.156","1.02"
"58","0.0000134","0.107","0.153","1.02"
"59","0.0000137","0.106","0.152","1.02"
"60","0.0000139","0.105","0.151","1.02"
"61","0.0000141","0.104","0.15","1.02"
"62","0.0000144","0.105","0.15","1.02"
"63","0.0000147","0.104","0.15","1.02"
"64","0.0000149","0.104","0.15","1.02"
"65","0.0000152","0.103","0.148","1.02"
"66","0.0000155","0.102","0.146","1.02"
"67","0.0000158","0.1","0.144","1.01"
"68","0.0000161","0.0989","0.142","1.01"
"69","0.0000164","0.0988","0.141","1.01"
"70","0.0000167","0.0975","0.139","1.01"
"71","0.000017","0.0958","0.137","1.01"
"72","0.0000173","0.0944","0.134","1.01"
"73","0.0000177","0.0912","0.13","1.01"
"74","0.000018","0.0899","0.128","1"
"75","0.0000183","0.0883","0.125","1"
"76","0.0000186","0.0889","0.126","1"
"77","0.000019","0.0885","0.126","1"
"78","0.0000193","0.0877","0.124","1"
"79","0.0000197","0.0875","0.124","1"
"80","0.0000201","0.0875","0.124","1"
"81","0.0000204","0.0877","0.124","1"
"82","0.0000208","0.0873","0.123","1"
"83","0.0000212","0.0869","0.123","1"
"84","0.0000216","0.0864","0.122","0.998"
"85","0.000022","0.0867","0.122","0.996"
"86","0.0000224","0.0876","0.123","0.995"
"87","0.0000228","0.0875","0.123","0.993"
"88","0.0000232","0.0877","0.123","0.992"
"89","0.0000237","0.0875","0.123","0.991"
"90","0.0000241","0.0875","0.123","0.994"
"91","0.0000246","0.087","0.122","0.994"
"92","0.000025","0.0869","0.122","0.994"
"93","0.0000255","0.0873","0.123","0.993"
"94","0.0000259","0.0876","0.123","0.993"
"95","0.0000264","0.088","0.124","0.995"
"96","0.0000269","0.0882","0.124","0.995"
"97","0.0000274","0.0873","0.123","0.996"
"98","0.0000279","0.0877","0.124","0.996"
"99","0.0000284","0.0878","0.124","0.996"
"100","0.000029","0.0869","0.122","0.997"
"101","0.0000295","0.087","0.123","0.997"
"102","0.0000301","0.087","0.123","0.997"
"103","0.0000306","0.0867","0.122","0.997"
"104","0.0000312","0.087","0.123","0.998"
"105","0.0000318","0.0873","0.123","0.998"
"106","0.0000323","0.087","0.123","0.998"
"107","0.0000329","0.0873","0.123","0.998"
"108","0.0000336","0.0865","0.122","0.998"
"109","0.0000342","0.0859","0.121","0.997"
