"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000473","0.17","0.239","0.995"
"2","0.00000479","0.187","0.262","0.993"
"3","0.00000487","0.198","0.277","0.991"
"4","0.00000496","0.207","0.29","0.989"
"5","0.00000505","0.217","0.303","0.987"
"6","0.00000516","0.224","0.312","0.987"
"7","0.00000525","0.229","0.32","0.986"
"8","0.00000534","0.237","0.329","0.984"
"9","0.00000545","0.243","0.338","0.984"
"10","0.00000555","0.247","0.343","0.983"
"11","0.00000565","0.25","0.347","0.981"
"12","0.00000575","0.254","0.352","0.98"
"13","0.00000586","0.256","0.355","0.98"
"14","0.00000597","0.26","0.361","0.98"
"15","0.00000609","0.262","0.364","0.981"
"16","0.0000062","0.262","0.365","0.986"
"17","0.00000631","0.26","0.364","0.99"
"18","0.00000642","0.261","0.366","0.99"
"19","0.00000654","0.263","0.369","0.99"
"20","0.00000666","0.265","0.37","0.99"
"21","0.0000068","0.268","0.374","0.99"
"22","0.00000692","0.269","0.377","0.989"
"23","0.00000704","0.271","0.379","0.988"
"24","0.00000718","0.273","0.382","0.989"
"25","0.00000731","0.273","0.382","0.989"
"26","0.00000743","0.275","0.385","0.988"
"27","0.00000758","0.276","0.385","0.988"
"28","0.00000772","0.275","0.385","0.988"
"29","0.00000786","0.275","0.384","0.988"
"30","0.00000801","0.274","0.383","0.988"
"31","0.00000816","0.271","0.378","0.988"
"32","0.00000831","0.269","0.376","0.988"
"33","0.00000846","0.269","0.376","0.988"
"34","0.00000861","0.271","0.378","0.988"
"35","0.00000878","0.27","0.378","0.989"
"36","0.00000895","0.267","0.373","0.988"
"37","0.00000911","0.261","0.364","0.989"
"38","0.00000927","0.253","0.354","0.989"
"39","0.00000945","0.249","0.348","0.989"
"40","0.00000962","0.247","0.346","0.989"
"41","0.0000098","0.243","0.34","0.99"
"42","0.00000998","0.241","0.338","0.991"
"43","0.0000102","0.241","0.338","0.991"
"44","0.0000104","0.242","0.338","0.991"
"45","0.0000105","0.241","0.338","0.992"
"46","0.0000107","0.239","0.336","0.992"
"47","0.000011","0.235","0.33","0.993"
"48","0.0000111","0.232","0.326","0.994"
"49","0.0000114","0.232","0.326","0.994"
"50","0.0000116","0.226","0.318","0.994"
"51","0.0000118","0.22","0.31","0.995"
"52","0.000012","0.219","0.308","0.995"
"53","0.0000122","0.215","0.303","0.995"
"54","0.0000125","0.213","0.3","0.995"
"55","0.0000127","0.199","0.281","0.998"
"56","0.0000129","0.184","0.261","1"
"57","0.0000132","0.182","0.258","1"
"58","0.0000134","0.186","0.263","1"
"59","0.0000136","0.188","0.266","1"
"60","0.0000139","0.183","0.26","1"
"61","0.0000142","0.18","0.256","1"
"62","0.0000144","0.183","0.259","1"
"63","0.0000147","0.186","0.264","1.01"
"64","0.000015","0.183","0.26","1.01"
"65","0.0000152","0.18","0.256","1.01"
"66","0.0000155","0.178","0.254","1.01"
"67","0.0000158","0.176","0.251","1.01"
"68","0.0000161","0.175","0.249","1.01"
