"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000477","0.0582","0.0804","0.977"
"2","0.00000479","0.0765","0.105","0.97"
"3","0.00000486","0.0797","0.109","0.97"
"4","0.00000497","0.0814","0.113","0.981"
"5","0.00000506","0.0826","0.115","0.98"
"6","0.00000515","0.0845","0.117","0.979"
"7","0.00000524","0.0868","0.12","0.979"
"8","0.00000535","0.0902","0.125","0.978"
"9","0.00000545","0.0934","0.13","0.981"
"10","0.00000555","0.0956","0.133","0.987"
"11","0.00000565","0.0985","0.137","0.987"
"12","0.00000577","0.101","0.141","0.987"
"13","0.00000586","0.105","0.146","0.986"
"14","0.00000597","0.107","0.149","0.985"
"15","0.00000608","0.109","0.152","0.985"
"16","0.0000062","0.111","0.155","0.984"
"17","0.00000632","0.111","0.155","0.984"
"18","0.00000643","0.111","0.154","0.983"
"19","0.00000656","0.115","0.159","0.981"
"20","0.00000667","0.119","0.165","0.981"
"21","0.00000678","0.123","0.17","0.98"
"22","0.00000692","0.125","0.173","0.98"
"23","0.00000704","0.126","0.175","0.984"
"24","0.00000717","0.127","0.177","0.984"
"25","0.00000731","0.127","0.177","0.984"
"26","0.00000745","0.128","0.178","0.983"
"27","0.00000758","0.128","0.177","0.984"
"28","0.00000772","0.129","0.18","0.984"
"29","0.00000786","0.131","0.182","0.983"
"30","0.00000802","0.133","0.184","0.983"
"31","0.00000815","0.131","0.182","0.983"
"32","0.0000083","0.13","0.181","0.982"
"33","0.00000847","0.13","0.181","0.983"
"34","0.00000862","0.13","0.181","0.982"
"35","0.00000881","0.129","0.18","0.982"
"36","0.00000895","0.13","0.181","0.988"
"37","0.00000911","0.129","0.18","0.987"
"38","0.0000093","0.129","0.18","0.988"
"39","0.00000945","0.126","0.176","0.987"
"40","0.00000962","0.127","0.177","0.987"
"41","0.00000979","0.126","0.176","0.987"
"42","0.00000998","0.125","0.174","0.988"
"43","0.0000102","0.124","0.173","0.988"
"44","0.0000103","0.121","0.168","0.988"
"45","0.0000106","0.114","0.16","0.988"
"46","0.0000107","0.107","0.149","0.987"
"47","0.000011","0.101","0.141","0.986"
"48","0.0000112","0.0989","0.138","0.986"
"49","0.0000114","0.096","0.134","0.986"
"50","0.0000116","0.095","0.132","0.986"
"51","0.0000118","0.0956","0.133","0.985"
"52","0.000012","0.0945","0.132","0.985"
"53","0.0000122","0.0916","0.128","0.986"
"54","0.0000124","0.0917","0.128","0.985"
"55","0.0000127","0.0891","0.125","0.99"
"56","0.0000129","0.0877","0.123","0.992"
"57","0.0000131","0.0853","0.12","0.991"
"58","0.0000134","0.0836","0.117","0.991"
"59","0.0000137","0.0858","0.12","0.991"
"60","0.0000139","0.0862","0.121","0.991"
"61","0.0000142","0.0871","0.122","0.991"
"62","0.0000144","0.0876","0.123","0.99"
"63","0.0000147","0.089","0.125","0.991"
"64","0.000015","0.0876","0.123","0.989"
"65","0.0000152","0.0871","0.122","0.99"
"66","0.0000155","0.0895","0.125","0.991"
"67","0.0000158","0.0905","0.127","0.99"
"68","0.0000161","0.095","0.133","0.99"
"69","0.0000164","0.0955","0.134","0.991"
