"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000505","0.581","0.79","0.961"
"2","0.00000488","0.629","0.856","0.962"
"3","0.00000486","0.638","0.868","0.961"
"4","0.00000495","0.64","0.87","0.962"
"5","0.00000502","0.642","0.871","0.959"
"6","0.00000518","0.707","0.976","0.977"
"7","0.00000752","0.707","0.982","0.982"
"8","0.00000568","0.549","0.762","0.982"
"9","0.00000546","0.742","1.03","0.983"
"10","0.0000055","0.74","1.03","0.985"
"11","0.00000565","0.731","1.02","0.983"
"12","0.00000577","0.734","1.02","0.982"
"13","0.00000584","0.723","1","0.982"
"14","0.00000598","0.725","1.01","0.983"
"15","0.00000608","0.73","1.01","0.983"
"16","0.0000062","0.728","1.01","0.983"
"17","0.00000637","0.728","1.01","0.984"
"18","0.0000064","0.733","1.02","0.984"
"19","0.00000653","0.735","1.02","0.983"
"20","0.00000667","0.736","1.02","0.984"
"21","0.0000068","0.739","1.03","0.984"
"22","0.00000692","0.742","1.03","0.984"
"23","0.00000705","0.745","1.04","0.985"
"24","0.00000714","0.743","1.04","0.985"
"25","0.00000732","0.748","1.04","0.985"
"26","0.00000743","0.75","1.04","0.985"
"27","0.00000758","0.751","1.05","0.986"
"28","0.00000774","0.753","1.05","0.986"
"29","0.00000786","0.755","1.05","0.987"
"30","0.00000801","0.758","1.06","0.987"
"31","0.00000814","0.763","1.07","0.987"
"32","0.0000083","0.764","1.07","0.987"
"33","0.00000849","0.768","1.07","0.988"
"34","0.00000861","0.766","1.07","0.988"
"35","0.00000883","0.767","1.07","0.988"
"36","0.00000893","0.761","1.06","0.989"
"37","0.00000909","0.759","1.06","0.989"
"38","0.00000929","0.755","1.06","0.99"
"39","0.00000945","0.759","1.06","0.99"
"40","0.00000963","0.755","1.06","0.991"
"41","0.0000098","0.752","1.05","0.991"
"42","0.00000999","0.756","1.06","0.992"
"43","0.0000102","0.751","1.05","0.992"
"44","0.0000104","0.745","1.05","0.992"
"45","0.0000106","0.749","1.05","0.993"
"46","0.0000107","0.742","1.04","0.993"
"47","0.000011","0.746","1.05","0.994"
"48","0.0000112","0.747","1.05","0.994"
"49","0.0000114","0.747","1.05","0.996"
"50","0.0000116","0.746","1.05","0.997"
"51","0.0000118","0.738","1.04","0.997"
"52","0.000012","0.741","1.05","0.997"
"53","0.0000122","0.744","1.05","0.998"
"54","0.0000125","0.75","1.06","0.999"
"55","0.0000127","0.749","1.06","1"
"56","0.0000129","0.76","1.08","1"
"57","0.0000132","0.761","1.08","1"
"58","0.0000134","0.761","1.08","1"
"59","0.0000136","0.762","1.08","1"
"60","0.0000139","0.758","1.08","1"
"61","0.0000142","0.751","1.07","1.01"
"62","0.0000144","0.75","1.07","1.01"
"63","0.0000146","0.752","1.07","1.01"
"64","0.000015","0.753","1.07","1.01"
"65","0.0000152","0.754","1.08","1.01"
"66","0.0000155","0.752","1.07","1.01"
"67","0.0000158","0.756","1.08","1.01"
"68","0.0000161","0.755","1.07","1.01"
"69","0.0000164","0.76","1.08","1.01"
"70","0.0000167","0.771","1.1","1.01"
"71","0.000017","0.775","1.11","1.01"
"72","0.0000173","0.776","1.11","1.01"
"73","0.0000176","0.776","1.11","1.01"
"74","0.000018","0.778","1.12","1.01"
"75","0.0000183","0.777","1.11","1.01"
"76","0.0000187","0.779","1.12","1.02"
"77","0.000019","0.774","1.11","1.02"
"78","0.0000193","0.768","1.11","1.02"
"79","0.0000197","0.756","1.09","1.02"
"80","0.0000201","0.759","1.09","1.02"
"81","0.0000204","0.76","1.1","1.02"
"82","0.0000208","0.76","1.1","1.02"
"83","0.0000212","0.752","1.09","1.02"
"84","0.0000216","0.742","1.07","1.02"
"85","0.000022","0.726","1.05","1.02"
"86","0.0000224","0.708","1.01","1.01"
"87","0.0000228","0.689","0.985","1.01"
"88","0.0000232","0.668","0.956","1.01"
"89","0.0000237","0.657","0.94","1.01"
"90","0.0000241","0.647","0.926","1.01"
"91","0.0000246","0.646","0.927","1.01"
"92","0.000025","0.642","0.921","1.01"
"93","0.0000255","0.651","0.935","1.02"
"94","0.0000259","0.663","0.954","1.02"
"95","0.0000265","0.679","0.979","1.02"
"96","0.0000269","0.687","0.993","1.02"
"97","0.0000274","0.671","0.97","1.02"
"98","0.0000279","0.676","0.978","1.02"
"99","0.0000285","0.689","0.999","1.02"
"100","0.000029","0.685","0.994","1.03"
"101","0.0000295","0.686","0.997","1.03"
"102","0.00003","0.693","1.01","1.03"
"103","0.0000306","0.694","1.01","1.02"
"104","0.0000311","0.677","0.983","1.03"
"105","0.0000318","0.697","1.01","1.03"
"106","0.0000324","0.715","1.04","1.03"
"107","0.000033","0.717","1.04","1.03"
"108","0.0000337","0.744","1.08","1.03"
"109","0.0000343","0.765","1.11","1.03"
"110","0.0000348","0.763","1.11","1.03"
"111","0.0000354","0.757","1.1","1.03"
"112","0.0000361","0.766","1.11","1.03"
"113","0.0000368","0.766","1.11","1.03"
"114","0.0000374","0.765","1.11","1.03"
"115","0.0000382","0.791","1.14","1.02"
"116","0.0000389","0.765","1.11","1.03"
"117","0.0000396","0.755","1.09","1.03"
"118","0.0000403","0.743","1.08","1.03"
"119","0.0000411","0.729","1.06","1.03"
"120","0.0000419","0.727","1.05","1.03"
"121","0.0000426","0.73","1.06","1.02"
"122","0.0000435","0.769","1.12","1.03"
"123","0.0000442","0.774","1.1","1.01"
"124","0.000045","0.749","1.07","1.01"
"125","0.0000459","0.695","0.99","1.01"
"126","0.0000467","0.685","0.975","1.01"
"127","0.0000476","0.705","1","1.01"
"128","0.0000485","0.724","1.03","1.01"
"129","0.0000493","0.741","1.06","1.01"
"130","0.0000502","0.729","1.04","1.01"
"131","0.0000512","0.764","1.09","1.01"
"132","0.0000522","0.794","1.14","1.01"
"133","0.0000531","0.789","1.13","1.01"
"134","0.0000541","0.794","1.14","1.01"
"135","0.0000551","0.79","1.13","1.01"
"136","0.0000561","0.756","1.08","1.01"
"137","0.0000572","0.748","1.07","1.01"
"138","0.0000583","0.753","1.08","1.01"
"139","0.0000593","0.723","1.04","1.01"
"140","0.0000605","0.718","1.03","1.01"
"141","0.0000615","0.713","1.02","1.01"
"142","0.0000627","0.686","0.981","1.01"
"143","0.0000638","0.725","1.04","1.01"
"144","0.000065","0.749","1.08","1.02"
"145","0.0000662","0.723","1.04","1.02"
"146","0.0000674","0.68","0.981","1.02"
"147","0.0000687","0.654","0.944","1.02"
"148","0.00007","0.674","0.976","1.02"
"149","0.0000713","0.683","0.989","1.02"
"150","0.0000726","0.66","0.958","1.03"
"151","0.000074","0.695","1.01","1.03"
"152","0.0000753","0.646","0.933","1.02"
"153","0.0000766","0.625","0.902","1.02"
"154","0.0000781","0.722","1.04","1.02"
