"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000504","0.61","0.862","1"
"2","0.00000482","0.603","0.85","0.997"
"3","0.000005","0.607","0.85","0.991"
"4","0.00000486","0.61","0.846","0.981"
"5","0.00000498","0.613","0.838","0.968"
"6","0.00000517","0.689","0.94","0.965"
"7","0.00000499","0.584","0.798","0.967"
"8","0.00000585","0.692","0.951","0.972"
"9","0.00000575","0.692","0.953","0.973"
"10","0.0000056","0.711","0.984","0.978"
"11","0.00000564","0.71","0.982","0.979"
"12","0.00000576","0.713","0.986","0.979"
"13","0.00000585","0.712","0.985","0.979"
"14","0.00000597","0.712","0.987","0.98"
"15","0.00000609","0.713","0.987","0.979"
"16","0.00000621","0.712","0.987","0.979"
"17","0.00000631","0.716","0.992","0.979"
"18","0.00000643","0.71","0.983","0.979"
"19","0.00000653","0.705","0.976","0.979"
"20","0.00000664","0.706","0.979","0.98"
"21","0.00000679","0.709","0.988","0.985"
"22","0.00000692","0.71","0.989","0.985"
"23","0.00000704","0.708","0.986","0.985"
"24","0.00000717","0.704","0.981","0.985"
"25","0.0000073","0.698","0.973","0.986"
"26","0.00000744","0.696","0.97","0.986"
"27","0.00000758","0.696","0.969","0.985"
"28","0.00000772","0.697","0.973","0.986"
"29","0.00000787","0.695","0.969","0.986"
"30","0.00000802","0.696","0.969","0.986"
"31","0.00000816","0.69","0.962","0.986"
"32","0.00000831","0.687","0.957","0.985"
"33","0.00000847","0.683","0.952","0.985"
"34","0.00000862","0.687","0.957","0.985"
"35","0.00000878","0.687","0.957","0.985"
"36","0.00000892","0.687","0.957","0.985"
"37","0.00000912","0.689","0.96","0.985"
"38","0.00000928","0.687","0.957","0.985"
"39","0.00000945","0.688","0.959","0.985"
"40","0.00000962","0.69","0.961","0.985"
"41","0.0000098","0.691","0.962","0.985"
"42","0.00000997","0.685","0.954","0.985"
"43","0.0000102","0.688","0.958","0.985"
"44","0.0000104","0.681","0.948","0.984"
"45","0.0000105","0.674","0.939","0.984"
"46","0.0000107","0.669","0.929","0.983"
"47","0.0000109","0.665","0.924","0.983"
"48","0.0000111","0.662","0.92","0.983"
"49","0.0000114","0.662","0.919","0.982"
"50","0.0000116","0.659","0.915","0.982"
"51","0.0000118","0.652","0.905","0.981"
"52","0.000012","0.655","0.908","0.981"
"53","0.0000122","0.65","0.902","0.981"
"54","0.0000124","0.645","0.894","0.98"
"55","0.0000127","0.646","0.895","0.981"
"56","0.0000129","0.648","0.897","0.98"
"57","0.0000132","0.658","0.912","0.979"
"58","0.0000134","0.66","0.913","0.979"
"59","0.0000137","0.664","0.919","0.978"
"60","0.0000139","0.676","0.936","0.979"
"61","0.0000142","0.681","0.942","0.979"
"62","0.0000144","0.674","0.933","0.978"
"63","0.0000147","0.673","0.931","0.978"
"64","0.000015","0.678","0.938","0.977"
