"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000524","0.404","0.565","0.99"
"2","0.00000478","0.569","0.795","0.988"
"3","0.00000487","0.612","0.857","0.99"
"4","0.00000496","0.653","0.917","0.993"
"5","0.00000505","0.685","0.966","0.998"
"6","0.00000516","0.711","1.01","1"
"7","0.00000505","0.468","0.667","1.01"
"8","0.00000619","0.664","0.946","1.01"
"9","0.00000554","0.696","0.991","1.01"
"10","0.00000576","0.611","0.87","1.01"
"11","0.00000567","0.602","0.857","1.01"
"12","0.00000567","0.653","0.929","1.01"
"13","0.00000547","0.677","0.963","1.01"
"14","0.00000603","0.708","1.01","1.01"
"15","0.00000606","0.705","1","1.01"
"16","0.00000618","0.703","1","1.01"
"17","0.00000631","0.704","1","1"
"18","0.00000644","0.705","1","1.01"
"19","0.00000654","0.7","0.995","1"
"20","0.00000666","0.7","0.993","1"
"21","0.00000675","0.697","0.989","1"
"22","0.00000688","0.695","0.986","1"
"23","0.00000705","0.694","0.985","1"
"24","0.00000718","0.692","0.983","1"
"25","0.00000732","0.696","0.987","1"
"26","0.00000744","0.698","0.99","1"
"27","0.00000758","0.701","0.994","1"
"28","0.00000772","0.696","0.987","1"
"29","0.0000079","0.697","0.987","1"
"30","0.000008","0.696","0.986","1"
"31","0.00000813","0.695","0.985","1"
"32","0.00000833","0.7","0.992","1"
"33","0.00000845","0.698","0.989","1"
"34","0.00000862","0.701","0.993","1"
"35","0.00000878","0.7","0.992","1"
"36","0.00000893","0.702","0.994","1"
"37","0.00000911","0.702","0.995","1"
"38","0.00000929","0.706","1","1"
"39","0.00000947","0.708","1","1"
"40","0.00000962","0.714","1.01","1"
"41","0.00000979","0.715","1.01","1"
"42","0.00001","0.713","1.01","1"
"43","0.0000102","0.709","1","1"
"44","0.0000104","0.704","0.997","1"
"45","0.0000106","0.697","0.987","1"
"46","0.0000107","0.692","0.979","1"
"47","0.0000109","0.691","0.977","0.999"
"48","0.0000111","0.69","0.975","0.998"
"49","0.0000113","0.693","0.979","0.998"
"50","0.0000116","0.692","0.977","0.998"
"51","0.0000118","0.69","0.974","0.998"
"52","0.000012","0.685","0.967","0.998"
"53","0.0000122","0.69","0.973","0.997"
"54","0.0000125","0.696","0.981","0.997"
"55","0.0000127","0.689","0.971","0.997"
"56","0.0000129","0.691","0.973","0.996"
"57","0.0000132","0.684","0.964","0.996"
"58","0.0000134","0.676","0.952","0.996"
"59","0.0000136","0.672","0.946","0.996"
"60","0.0000139","0.671","0.945","0.996"
"61","0.0000142","0.675","0.949","0.994"
"62","0.0000144","0.666","0.935","0.994"
"63","0.0000147","0.656","0.922","0.993"
"64","0.000015","0.647","0.908","0.992"
"65","0.0000152","0.641","0.9","0.992"
"66","0.0000155","0.635","0.891","0.992"
"67","0.0000158","0.625","0.875","0.989"
"68","0.0000161","0.621","0.869","0.989"
"69","0.0000164","0.613","0.857","0.989"
"70","0.0000167","0.631","0.883","0.988"
"71","0.000017","0.641","0.895","0.987"
"72","0.0000173","0.645","0.9","0.987"
"73","0.0000177","0.662","0.923","0.986"
"74","0.000018","0.677","0.943","0.985"
"75","0.0000183","0.681","0.948","0.984"
"76","0.0000186","0.689","0.957","0.983"
"77","0.000019","0.693","0.964","0.983"
"78","0.0000193","0.691","0.96","0.982"
"79","0.0000197","0.694","0.964","0.982"
"80","0.0000201","0.699","0.982","0.993"
"81","0.0000204","0.704","0.989","0.993"
"82","0.0000208","0.7","0.983","0.992"
"83","0.0000212","0.698","0.978","0.991"
"84","0.0000216","0.696","0.977","0.992"
"85","0.000022","0.694","0.972","0.991"
"86","0.0000224","0.7","0.98","0.991"
"87","0.0000228","0.707","0.991","0.99"
"88","0.0000232","0.7","0.98","0.99"
"89","0.0000237","0.683","0.955","0.989"
"90","0.0000241","0.691","0.966","0.989"
"91","0.0000245","0.688","0.963","0.989"
"92","0.000025","0.68","0.952","0.99"
