"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000509","0.418","0.587","0.992"
"2","0.00000488","0.616","0.865","0.993"
"3","0.00000489","0.609","0.851","0.989"
"4","0.00000493","0.605","0.839","0.98"
"5","0.00000505","0.603","0.825","0.968"
"6","0.00000509","0.599","0.82","0.969"
"7","0.0000053","0.608","0.831","0.965"
"8","0.00000511","0.585","0.801","0.968"
"9","0.00000522","0.605","0.831","0.972"
"10","0.00000551","0.611","0.842","0.975"
"11","0.00000561","0.615","0.847","0.974"
"12","0.00000575","0.616","0.85","0.976"
"13","0.00000586","0.614","0.849","0.977"
"14","0.00000597","0.616","0.853","0.98"
"15","0.00000607","0.618","0.854","0.978"
"16","0.00000619","0.619","0.854","0.976"
"17","0.00000631","0.619","0.852","0.973"
"18","0.00000642","0.62","0.851","0.971"
"19","0.00000653","0.617","0.858","0.984"
"20","0.00000665","0.616","0.854","0.98"
"21","0.00000679","0.624","0.863","0.978"
"22","0.00000691","0.64","0.885","0.978"
"23","0.00000706","0.644","0.891","0.978"
"24","0.00000717","0.651","0.901","0.979"
"25","0.00000729","0.652","0.904","0.98"
"26","0.00000745","0.659","0.914","0.98"
"27","0.00000758","0.665","0.922","0.98"
"28","0.00000772","0.668","0.926","0.981"
"29","0.00000787","0.671","0.931","0.981"
"30","0.00000801","0.672","0.933","0.982"
"31","0.00000815","0.67","0.931","0.982"
"32","0.00000832","0.675","0.938","0.982"
"33","0.00000846","0.673","0.936","0.983"
"34","0.0000086","0.671","0.935","0.985"
"35","0.00000876","0.673","0.94","0.987"
"36","0.00000894","0.674","0.943","0.989"
"37","0.00000911","0.673","0.941","0.989"
"38","0.00000928","0.676","0.946","0.989"
"39","0.00000945","0.674","0.942","0.989"
"40","0.00000961","0.67","0.937","0.989"
"41","0.0000098","0.665","0.93","0.989"
"42","0.00000997","0.659","0.922","0.99"
"43","0.0000102","0.658","0.922","0.99"
"44","0.0000104","0.656","0.919","0.991"
"45","0.0000106","0.659","0.924","0.991"
"46","0.0000108","0.66","0.925","0.992"
"47","0.0000109","0.663","0.931","0.993"
"48","0.0000112","0.668","0.939","0.994"
"49","0.0000113","0.658","0.926","0.995"
"50","0.0000115","0.646","0.91","0.995"
"51","0.0000118","0.643","0.905","0.996"
"52","0.000012","0.644","0.908","0.996"
"53","0.0000122","0.655","0.923","0.997"
"54","0.0000125","0.659","0.93","0.998"
"55","0.0000127","0.658","0.929","0.998"
"56","0.0000129","0.657","0.927","0.999"
"57","0.0000132","0.666","0.942","1"
"58","0.0000134","0.667","0.944","1"
"59","0.0000136","0.663","0.939","1"
"60","0.0000139","0.658","0.933","1"
"61","0.0000142","0.656","0.929","1"
"62","0.0000144","0.647","0.917","1"
"63","0.0000147","0.643","0.911","1"
"64","0.000015","0.646","0.917","1"
"65","0.0000152","0.633","0.9","1"
"66","0.0000155","0.628","0.893","1.01"
"67","0.0000158","0.625","0.889","1.01"
"68","0.0000161","0.634","0.901","1.01"
"69","0.0000164","0.635","0.904","1.01"
"70","0.0000167","0.63","0.897","1.01"
"71","0.000017","0.627","0.892","1.01"
"72","0.0000173","0.624","0.889","1.01"
"73","0.0000176","0.634","0.904","1.01"
"74","0.000018","0.64","0.914","1.01"
"75","0.0000183","0.64","0.914","1.01"
"76","0.0000186","0.642","0.916","1.01"
"77","0.000019","0.633","0.905","1.01"
"78","0.0000193","0.627","0.896","1.01"
"79","0.0000197","0.623","0.89","1.01"
"80","0.0000201","0.617","0.883","1.01"
"81","0.0000204","0.609","0.872","1.01"
"82","0.0000208","0.607","0.869","1.01"
"83","0.0000212","0.601","0.861","1.01"
"84","0.0000216","0.598","0.857","1.01"
"85","0.000022","0.599","0.86","1.01"
"86","0.0000224","0.604","0.867","1.01"
"87","0.0000228","0.599","0.86","1.01"
"88","0.0000232","0.584","0.839","1.02"
"89","0.0000237","0.576","0.83","1.02"
"90","0.0000241","0.583","0.845","1.03"
"91","0.0000245","0.593","0.861","1.03"
"92","0.000025","0.593","0.863","1.03"
"93","0.0000254","0.584","0.853","1.03"
"94","0.0000259","0.588","0.856","1.03"
"95","0.0000264","0.586","0.844","1.02"
"96","0.0000269","0.593","0.844","1.01"
"97","0.0000274","0.631","0.899","1.01"
"98","0.0000279","0.659","0.941","1.01"
"99","0.0000285","0.67","0.956","1.01"
"100","0.000029","0.695","0.991","1.01"
"101","0.0000295","0.71","1.01","1.01"
"102","0.0000301","0.719","1.03","1.01"
"103","0.0000306","0.72","1.03","1.01"
"104","0.0000312","0.716","1.02","1.01"
"105","0.0000317","0.706","1.01","1.01"
"106","0.0000323","0.713","1.02","1.01"
"107","0.000033","0.709","1.01","1.01"
"108","0.0000335","0.691","0.989","1.01"
"109","0.0000342","0.679","0.971","1.01"
"110","0.0000348","0.671","0.96","1.01"
"111","0.0000355","0.689","0.987","1.01"
"112","0.0000361","0.695","0.998","1.02"
"113","0.0000367","0.69","0.993","1.02"
"114","0.0000374","0.696","1","1.02"
"115","0.0000382","0.701","1.01","1.02"
"116","0.0000389","0.725","1.05","1.02"
"117","0.0000396","0.743","1.08","1.02"
"118","0.0000403","0.736","1.07","1.02"
"119","0.0000411","0.714","1.03","1.02"
"120","0.0000417","0.686","0.98","1.01"
"121","0.0000426","0.667","0.953","1.01"
"122","0.0000434","0.672","0.96","1.01"
"123","0.0000442","0.661","0.945","1.01"
"124","0.000045","0.681","0.974","1.01"
"125","0.0000459","0.665","0.952","1.01"
"126","0.0000467","0.645","0.922","1.01"
"127","0.0000475","0.636","0.909","1.01"
"128","0.0000485","0.653","0.933","1.01"
"129","0.0000494","0.657","0.938","1.01"
"130","0.0000503","0.674","0.961","1.01"
"131","0.0000512","0.671","0.957","1.01"
"132","0.0000522","0.68","0.968","1.01"
"133","0.0000531","0.698","0.992","1"
"134","0.0000541","0.684","0.97","1"
"135","0.0000551","0.659","0.934","1"
"136","0.0000562","0.652","0.922","0.999"
"137","0.0000571","0.664","0.937","0.997"
"138","0.0000582","0.693","0.976","0.996"
"139","0.0000593","0.699","0.984","0.996"
"140","0.0000604","0.651","0.916","0.995"
"141","0.0000616","0.627","0.88","0.994"
"142","0.0000626","0.619","0.869","0.993"
"143","0.0000638","0.639","0.897","0.994"
"144","0.0000652","0.632","0.891","0.997"
"145","0.0000662","0.633","0.889","0.993"
"146","0.0000674","0.604","0.846","0.991"
"147","0.0000687","0.621","0.867","0.988"
"148","0.00007","0.637","0.894","0.992"
"149","0.0000713","0.671","0.938","0.989"
"150","0.0000726","0.712","0.994","0.987"
"151","0.000074","0.694","0.967","0.985"
"152","0.0000753","0.65","0.903","0.983"
"153","0.0000767","0.649","0.899","0.98"
"154","0.0000781","0.629","0.871","0.98"
"155","0.0000795","0.609","0.842","0.978"
"156","0.000081","0.623","0.859","0.975"
"157","0.0000826","0.637","0.877","0.973"
"158","0.0000841","0.626","0.859","0.971"
"159","0.0000857","0.619","0.859","0.98"
"160","0.0000872","0.607","0.846","0.986"
"161","0.0000888","0.602","0.843","0.991"
"162","0.0000906","0.667","0.929","0.985"
"163","0.0000922","0.653","0.89","0.964"
"164","0.0000938","0.625","0.856","0.968"
"165","0.0000956","0.651","0.893","0.97"
"166","0.0000973","0.624","0.859","0.973"
"167","0.0000993","0.674","0.933","0.979"
"168","0.000101","0.643","0.887","0.976"
"169","0.000103","0.671","0.931","0.981"
"170","0.000105","0.692","0.969","0.99"
"171","0.000107","0.665","0.926","0.985"
"172","0.000109","0.683","0.947","0.98"
"173","0.000111","0.713","0.986","0.978"
"174","0.000113","0.664","0.916","0.975"
"175","0.000115","0.604","0.832","0.974"
"176","0.000117","0.612","0.841","0.971"
"177","0.000119","0.645","0.89","0.976"
"178","0.000121","0.659","0.907","0.974"
"179","0.000124","0.684","0.964","0.997"
"180","0.000126","0.681","0.957","0.994"
"181","0.000128","0.645","0.905","0.991"
"182","0.000131","0.63","0.88","0.988"
"183","0.000133","0.631","0.876","0.982"
"184","0.000135","0.717","0.991","0.978"
"185","0.000138","0.692","0.954","0.974"
"186","0.000141","0.715","0.982","0.972"
"187","0.000143","0.708","0.973","0.972"
"188","0.000146","0.692","0.958","0.978"
"189","0.000149","0.697","0.968","0.981"
"190","0.000151","0.666","0.926","0.983"
"191","0.000154","0.666","0.925","0.982"
"192","0.000157","0.657","0.912","0.981"
"193","0.00016","0.658","0.913","0.98"
"194","0.000163","0.62","0.858","0.978"
"195","0.000166","0.679","0.934","0.973"
"196","0.000169","0.674","0.932","0.977"
"197","0.000172","0.709","0.986","0.983"
"198","0.000175","0.698","0.968","0.981"
"199","0.000179","0.614","0.847","0.975"
"200","0.000182","0.615","0.846","0.973"
"201","0.000185","0.72","0.995","0.976"
"202","0.000189","0.69","0.947","0.971"
"203","0.000192","0.679","0.934","0.973"
"204","0.000196","0.669","0.923","0.975"
"205","0.000199","0.671","0.93","0.98"
"206","0.000203","0.688","0.956","0.983"
"207","0.000207","0.727","1.01","0.982"
"208","0.000211","0.705","0.983","0.985"
"209","0.000214","0.709","0.987","0.985"
"210","0.000218","0.689","0.959","0.984"
"211","0.000223","0.677","0.944","0.986"
"212","0.000227","0.682","0.95","0.985"
"213","0.000231","0.707","0.991","0.99"
"214","0.000235","0.687","0.972","1"
"215","0.00024","0.663","0.943","1.01"
"216","0.000244","0.656","0.938","1.01"
"217","0.000248","0.607","0.873","1.02"
"218","0.000253","0.619","0.899","1.03"
"219","0.000258","0.599","0.876","1.03"
"220","0.000263","0.662","0.97","1.03"
"221","0.000267","0.592","0.864","1.03"
"222","0.000272","0.58","0.846","1.03"
"223","0.000277","0.587","0.854","1.03"
"224","0.000283","0.62","0.901","1.03"
"225","0.000288","0.635","0.921","1.03"
"226","0.000293","0.633","0.91","1.02"
"227","0.000299","0.669","0.963","1.02"
"228","0.000304","0.646","0.936","1.02"
"229","0.00031","0.61","0.885","1.03"
"230","0.000316","0.662","0.964","1.03"
"231","0.000321","0.667","0.973","1.03"
