"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.0412","0.05907","0.2821","1.014"
"2","0.04095","0.05869","0.277","1.013"
"3","0.04271","0.06132","0.2719","1.015"
"4","0.04397","0.06305","0.267","1.014"
"5","0.04139","0.05921","0.2621","1.011"
"6","0.04157","0.05958","0.2574","1.013"
"7","0.04128","0.05902","0.2526","1.011"
"8","0.04154","0.0595","0.2481","1.013"
"9","0.04026","0.05752","0.2435","1.01"
"10","0.04076","0.05828","0.2391","1.011"
"11","0.0407","0.05824","0.2348","1.012"
"12","0.04097","0.05854","0.2305","1.01"
"13","0.04057","0.05795","0.2263","1.01"
"14","0.04019","0.0574","0.2222","1.01"
"15","0.04037","0.05762","0.2181","1.009"
"16","0.04026","0.05744","0.2142","1.009"
"17","0.04086","0.05832","0.2103","1.009"
"18","0.03998","0.05691","0.2065","1.007"
"19","0.03983","0.0568","0.2027","1.008"
"20","0.04043","0.05768","0.199","1.009"
"21","0.03987","0.05685","0.1954","1.008"
"22","0.03955","0.05626","0.1918","1.006"
"23","0.04084","0.05826","0.1883","1.009"
"24","0.03954","0.05633","0.1849","1.007"
"25","0.03955","0.05615","0.1816","1.004"
"26","0.04036","0.05721","0.1782","1.002"
"27","0.04103","0.05841","0.175","1.007"
"28","0.04105","0.05857","0.1718","1.009"
"29","0.04118","0.05872","0.1687","1.008"
"30","0.04142","0.059","0.1656","1.007"
"31","0.04046","0.05728","0.1626","1.001"
"32","0.04041","0.05732","0.1596","1.003"
"33","0.04006","0.05673","0.1568","1.001"
"34","0.04133","0.05877","0.1539","1.005"
"35","0.04137","0.05865","0.1511","1.002"
"36","0.04032","0.05712","0.1483","1.002"
"37","0.04184","0.05952","0.1457","1.006"
"38","0.04158","0.05871","0.143","0.9983"
"39","0.04204","0.05985","0.1404","1.007"
"40","0.0417","0.05878","0.1378","0.9967"
"41","0.04288","0.06074","0.1353","1.002"
"42","0.04221","0.05982","0.1328","1.002"
"43","0.0431","0.06094","0.1305","0.9997"
"44","0.04314","0.06089","0.1281","0.9981"
"45","0.04297","0.06074","0.1258","0.9995"
"46","0.04339","0.06155","0.1235","1.003"
"47","0.04374","0.06169","0.1212","0.9973"
"48","0.04459","0.06295","0.119","0.9984"
"49","0.0447","0.06327","0.1168","1.001"
"50","0.04491","0.06349","0.1147","0.9996"
"51","0.04529","0.06398","0.1126","0.9988"
"52","0.04567","0.06443","0.1106","0.9977"
"53","0.04591","0.06477","0.1086","0.9975"
"54","0.04653","0.06588","0.1066","1.001"
"55","0.04721","0.06653","0.1046","0.9965"
"56","0.04747","0.06713","0.1027","1"
"57","0.04761","0.06671","0.1009","0.9909"
"58","0.04878","0.06889","0.09903","0.9986"
"59","0.04886","0.06935","0.09723","1.004"
"60","0.04948","0.07001","0.09546","1.001"
"61","0.04982","0.07048","0.09372","1"
"62","0.05019","0.07131","0.09201","1.005"
"63","0.0514","0.07254","0.09034","0.9979"
"64","0.05126","0.07197","0.08869","0.9927"
"65","0.05215","0.07345","0.08708","0.9959"
"66","0.05308","0.07489","0.0855","0.9976"
"67","0.05347","0.0752","0.08394","0.9943"
"68","0.05385","0.0758","0.08241","0.9953"
"69","0.05498","0.07753","0.08091","0.9971"
"70","0.05412","0.07646","0.07944","0.9989"
"71","0.05584","0.07812","0.07799","0.9892"
"72","0.05672","0.07989","0.07657","0.996"
"73","0.05641","0.07959","0.07518","0.9977"
"74","0.05803","0.0813","0.07381","0.9907"
"75","0.05902","0.08312","0.07247","0.9958"
"76","0.05819","0.08219","0.07115","0.9987"
"77","0.05965","0.08351","0.06985","0.9901"
"78","0.06094","0.08553","0.06858","0.9924"
"79","0.06215","0.08701","0.06734","0.9899"
"80","0.06136","0.08683","0.06611","1.001"
"81","0.06182","0.08712","0.06491","0.9965"
"82","0.06283","0.08914","0.06373","1.003"
"83","0.06364","0.08871","0.06257","0.9856"
"84","0.06637","0.09246","0.06143","0.9851"
"85","0.06723","0.09451","0.06031","0.9939"
"86","0.0677","0.09523","0.05921","0.9947"
"87","0.06826","0.09565","0.05813","0.9909"
"88","0.06903","0.09644","0.05708","0.9879"
"89","0.07001","0.09779","0.05604","0.9877"
"90","0.07106","0.09964","0.05502","0.9915"
"91","0.07239","0.1018","0.05402","0.9946"
"92","0.0739","0.1038","0.05303","0.993"
"93","0.07414","0.103","0.05207","0.982"
"94","0.07256","0.1009","0.05112","0.9835"
"95","0.07293","0.1036","0.05019","1.005"
"96","0.07431","0.1047","0.04928","0.9968"
"97","0.07384","0.104","0.04838","0.9962"
"98","0.07804","0.1099","0.0475","0.9962"
"99","0.07981","0.1107","0.04663","0.9809"
"100","0.08147","0.1136","0.04579","0.9857"
"101","0.07815","0.1102","0.04495","0.997"
"102","0.07919","0.1113","0.04413","0.994"
"103","0.08209","0.1156","0.04333","0.9954"
"104","0.08613","0.1201","0.04254","0.9861"
"105","0.08292","0.1159","0.04177","0.9884"
"106","0.08301","0.117","0.04101","0.9966"
"107","0.08686","0.1213","0.04026","0.9878"
"108","0.08999","0.1253","0.03953","0.9847"
"109","0.08582","0.1213","0.03881","0.9995"
"110","0.08734","0.1229","0.0381","0.995"
"111","0.09434","0.131","0.03741","0.982"
"112","0.08869","0.1251","0.03673","0.9972"
"113","0.09111","0.1276","0.03606","0.9905"
"114","0.09494","0.1324","0.0354","0.9865"
"115","0.09209","0.1307","0.03476","1.004"
"116","0.09913","0.1383","0.03413","0.9864"
"117","0.09484","0.1329","0.03351","0.9908"
"118","0.09489","0.1326","0.0329","0.9879"
"119","0.1003","0.1404","0.0323","0.9899"
"120","0.09788","0.139","0.03171","1.004"
"121","0.1078","0.1479","0.03113","0.9701"
"122","0.09915","0.1412","0.03057","1.007"
"123","0.1098","0.1524","0.03001","0.9813"
"124","0.1009","0.1418","0.02946","0.9944"
"125","0.1105","0.1547","0.02893","0.9902"
"126","0.1034","0.1444","0.0284","0.9877"
"127","0.113","0.1584","0.02788","0.9914"
"128","0.1053","0.1477","0.02738","0.9913"
"129","0.1177","0.1637","0.02688","0.983"
"130","0.1074","0.1531","0.02639","1.008"
"131","0.1219","0.166","0.02591","0.963"
"132","0.1117","0.1605","0.02544","1.016"
"133","0.1185","0.1648","0.02497","0.9836"
"134","0.1137","0.1572","0.02452","0.9776"
"135","0.1182","0.1676","0.02407","1.003"
"136","0.1165","0.1651","0.02364","1.002"
"137","0.1159","0.1612","0.02321","0.9836"
"138","0.1318","0.1788","0.02278","0.9588"
"139","0.1211","0.1718","0.02237","1.003"
