"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.0107","0.01499","0.000004694","0.9911"
"2","0.0242","0.03392","0.000004791","0.9912"
"3","0.03748","0.05255","0.000004883","0.9915"
"4","0.05067","0.07103","0.000004964","0.9913"
"5","0.06379","0.08942","0.00000506","0.9911"
"6","0.07693","0.1079","0.000005151","0.992"
"7","0.08988","0.1261","0.000005251","0.992"
"8","0.103","0.1444","0.000005349","0.9917"
"9","0.1158","0.1625","0.000005442","0.9922"
"10","0.1288","0.1807","0.000005553","0.9925"
"11","0.1416","0.1987","0.000005642","0.9927"
"12","0.1543","0.2165","0.000005756","0.9922"
"13","0.1666","0.2339","0.000005865","0.9923"
"14","0.1787","0.251","0.000005966","0.993"
"15","0.1904","0.2673","0.000006081","0.9925"
"16","0.2015","0.2829","0.00000619","0.9928"
"17","0.2117","0.2972","0.00000631","0.9925"
"18","0.2206","0.3097","0.000006422","0.9929"
"19","0.2279","0.32","0.000006538","0.9928"
"20","0.2338","0.3281","0.000006668","0.9926"
"21","0.2385","0.3348","0.000006785","0.9926"
"22","0.242","0.3397","0.000006912","0.9928"
"23","0.2448","0.3435","0.000007045","0.9923"
"24","0.2466","0.3463","0.00000717","0.9928"
"25","0.2483","0.3486","0.00000731","0.9926"
"26","0.2494","0.35","0.000007435","0.9921"
"27","0.2502","0.3511","0.000007583","0.9925"
"28","0.2505","0.3518","0.000007723","0.993"
"29","0.2512","0.3525","0.00000786","0.9922"
"30","0.2518","0.3536","0.000008013","0.9928"
"31","0.2521","0.3542","0.000008159","0.9934"
"32","0.2528","0.3548","0.000008314","0.9922"
"33","0.2533","0.3556","0.000008461","0.9929"
"34","0.2537","0.3562","0.000008622","0.9929"
"35","0.2541","0.3567","0.000008787","0.9926"
"36","0.2549","0.3578","0.000008939","0.9927"
"37","0.2555","0.3587","0.000009112","0.9928"
"38","0.256","0.3597","0.000009273","0.9938"
"39","0.2568","0.3606","0.00000945","0.9927"
