"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.03105","0.04531","0.2821","1.032"
"2","0.03086","0.04503","0.277","1.032"
"3","0.03211","0.0469","0.272","1.033"
"4","0.0328","0.04791","0.267","1.033"
"5","0.03018","0.04402","0.2621","1.032"
"6","0.03108","0.04534","0.2574","1.031"
"7","0.0306","0.04461","0.2527","1.031"
"8","0.03126","0.04564","0.2481","1.032"
"9","0.02929","0.04271","0.2436","1.031"
"10","0.02949","0.04296","0.2391","1.03"
"11","0.03021","0.04396","0.2348","1.029"
"12","0.02947","0.04286","0.2305","1.029"
"13","0.02928","0.04259","0.2263","1.028"
"14","0.02911","0.0423","0.2222","1.027"
"15","0.02843","0.04134","0.2182","1.028"
"16","0.02902","0.04219","0.2142","1.028"
"17","0.02909","0.04221","0.2103","1.026"
"18","0.02748","0.03981","0.2065","1.024"
"19","0.02833","0.04111","0.2027","1.026"
"20","0.0283","0.0411","0.199","1.027"
"21","0.02775","0.04022","0.1954","1.025"
"22","0.02725","0.03945","0.1918","1.024"
"23","0.02824","0.04097","0.1884","1.026"
"24","0.02739","0.03965","0.1849","1.023"
"25","0.02657","0.03843","0.1815","1.023"
"26","0.02668","0.03872","0.1783","1.026"
"27","0.02779","0.04024","0.175","1.024"
"28","0.02782","0.04034","0.1718","1.025"
"29","0.02778","0.04028","0.1687","1.025"
"30","0.02724","0.03938","0.1656","1.022"
"31","0.02673","0.03867","0.1626","1.023"
"32","0.02593","0.03749","0.1597","1.022"
"33","0.02573","0.03714","0.1567","1.021"
"34","0.02697","0.03898","0.1539","1.022"
"35","0.02658","0.03844","0.1511","1.023"
"36","0.02578","0.03717","0.1483","1.02"
"37","0.02701","0.03906","0.1456","1.023"
"38","0.02582","0.03718","0.143","1.018"
"39","0.02687","0.03886","0.1404","1.022"
"40","0.02583","0.03722","0.1379","1.019"
"41","0.02656","0.03826","0.1353","1.019"
"42","0.02607","0.03745","0.1329","1.016"
"43","0.02616","0.03757","0.1304","1.016"
"44","0.02646","0.03812","0.1281","1.018"
"45","0.02641","0.03817","0.1257","1.022"
"46","0.02625","0.03775","0.1235","1.017"
"47","0.02627","0.03782","0.1212","1.018"
"48","0.02643","0.03793","0.119","1.015"
"49","0.02666","0.03836","0.1169","1.018"
"50","0.02664","0.03834","0.1147","1.018"
"51","0.02685","0.03862","0.1126","1.017"
"52","0.02669","0.03838","0.1106","1.017"
"53","0.02691","0.03871","0.1086","1.017"
"54","0.02712","0.03902","0.1066","1.017"
"55","0.02722","0.03902","0.1046","1.014"
"56","0.02732","0.03939","0.1027","1.019"
"57","0.02703","0.03877","0.1009","1.014"
"58","0.02739","0.03911","0.09903","1.01"
"59","0.028","0.04028","0.09723","1.017"
"60","0.0281","0.04048","0.09546","1.019"
"61","0.02783","0.03998","0.09372","1.016"
"62","0.0287","0.0413","0.09201","1.018"
"63","0.02817","0.04021","0.09034","1.009"
"64","0.02823","0.04034","0.08869","1.01"
"65","0.02898","0.04181","0.08708","1.02"
"66","0.02874","0.04093","0.0855","1.007"
"67","0.02938","0.04231","0.08394","1.018"
"68","0.02914","0.04153","0.08241","1.008"
"69","0.02964","0.04247","0.08091","1.013"
"70","0.03009","0.04329","0.07944","1.017"
"71","0.02964","0.04228","0.07799","1.008"
"72","0.03088","0.04434","0.07657","1.015"
"73","0.0306","0.04378","0.07518","1.012"
"74","0.03047","0.04341","0.07381","1.007"
"75","0.03158","0.04523","0.07247","1.013"
"76","0.03186","0.04563","0.07115","1.013"
"77","0.03142","0.04484","0.06985","1.009"
