"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.008656","0.01215","0.000004702","0.9928"
"2","0.01979","0.02777","0.000004783","0.9924"
"3","0.03031","0.04259","0.000004876","0.9937"
"4","0.04042","0.05677","0.000004964","0.9932"
"5","0.05019","0.07056","0.00000506","0.9941"
"6","0.05935","0.08342","0.000005154","0.994"
"7","0.06784","0.09545","0.000005249","0.995"
"8","0.0751","0.1056","0.000005352","0.9947"
"9","0.08035","0.1132","0.000005447","0.9958"
"10","0.08309","0.117","0.000005548","0.9961"
"11","0.08426","0.1189","0.000005651","0.9978"
"12","0.08501","0.1199","0.000005757","0.9974"
"13","0.08559","0.1207","0.000005864","0.9973"
"14","0.08579","0.121","0.00000597","0.9976"
"15","0.08606","0.1214","0.000006085","0.9976"
"16","0.08627","0.1217","0.000006195","0.9973"
"17","0.08648","0.122","0.00000631","0.9972"
"18","0.08656","0.1221","0.000006426","0.9976"
"19","0.08659","0.1221","0.000006547","0.9972"
"20","0.08685","0.1225","0.000006667","0.9972"
"21","0.08715","0.1229","0.000006784","0.9969"
"22","0.08745","0.1233","0.000006917","0.9967"
"23","0.08787","0.1239","0.000007048","0.9967"
"24","0.08815","0.1243","0.000007171","0.9974"
"25","0.08826","0.1244","0.000007301","0.9966"
"26","0.08849","0.1247","0.000007443","0.9963"
"27","0.08878","0.1251","0.000007583","0.9962"
"28","0.08908","0.1255","0.000007713","0.996"
"29","0.08935","0.1258","0.00000787","0.9958"
"30","0.08954","0.1262","0.000008013","0.9966"
"31","0.09007","0.1269","0.000008159","0.9961"
"32","0.09046","0.1273","0.000008308","0.9955"
"33","0.09049","0.1275","0.000008465","0.996"
"34","0.09076","0.1278","0.000008623","0.9955"
"35","0.09112","0.1283","0.000008778","0.9957"
"36","0.0914","0.1288","0.000008946","0.9961"
"37","0.09186","0.1293","0.000009116","0.9951"
"38","0.09222","0.1299","0.000009281","0.9957"
"39","0.09255","0.1302","0.000009447","0.9949"
"40","0.09258","0.1304","0.000009627","0.9959"
"41","0.09296","0.1308","0.000009804","0.9953"
"42","0.09335","0.1314","0.000009985","0.9953"
"43","0.0936","0.1318","0.00001017","0.9954"
"44","0.0936","0.1318","0.00001036","0.9957"
"45","0.09368","0.1319","0.00001055","0.9959"
"46","0.09383","0.1322","0.00001074","0.996"
"47","0.0942","0.1326","0.00001094","0.9955"
"48","0.09453","0.1331","0.00001115","0.9953"
"49","0.09473","0.1334","0.00001136","0.9954"
"50","0.09517","0.134","0.00001156","0.9953"
"51","0.09567","0.1347","0.00001178","0.9956"
"52","0.0963","0.1355","0.000012","0.9949"
"53","0.09671","0.1361","0.00001222","0.9953"
"54","0.09702","0.1365","0.00001245","0.995"
"55","0.09695","0.1364","0.00001267","0.9952"
"56","0.09728","0.1369","0.00001291","0.9947"
"57","0.0978","0.1376","0.00001315","0.9949"
"58","0.09827","0.1383","0.0000134","0.9949"
"59","0.09888","0.1392","0.00001365","0.9951"
"60","0.09937","0.1399","0.00001389","0.9952"
"61","0.09953","0.1401","0.00001415","0.9952"
"62","0.0998","0.1404","0.00001442","0.9946"
"63","0.1001","0.1409","0.00001469","0.9954"
"64","0.1002","0.141","0.00001496","0.9952"
"65","0.1002","0.141","0.00001523","0.9954"
"66","0.1004","0.1413","0.00001552","0.9949"
"67","0.1006","0.1414","0.0000158","0.9944"
"68","0.1008","0.1417","0.00001609","0.9945"
"69","0.101","0.142","0.0000164","0.9945"
"70","0.1012","0.1423","0.00001669","0.994"
"71","0.1011","0.1422","0.000017","0.994"
"72","0.1013","0.1424","0.00001732","0.9939"
"73","0.1014","0.1426","0.00001765","0.9942"
"74","0.1018","0.1431","0.00001797","0.9945"
"75","0.1021","0.1434","0.0000183","0.9934"
"76","0.102","0.1434","0.00001865","0.9938"
"77","0.1023","0.1438","0.00001899","0.9938"
"78","0.1029","0.1446","0.00001934","0.9939"
"79","0.1032","0.145","0.00001969","0.9938"
"80","0.1034","0.1453","0.00002008","0.9939"
"81","0.1033","0.145","0.00002045","0.993"
"82","0.1033","0.1451","0.00002082","0.9926"
"83","0.1039","0.1459","0.0000212","0.9924"
"84","0.1043","0.1464","0.0000216","0.9922"
"85","0.1048","0.1471","0.000022","0.9923"
"86","0.1051","0.1475","0.0000224","0.9928"
"87","0.1055","0.1482","0.00002282","0.9928"
"88","0.1058","0.1485","0.00002324","0.9928"
"89","0.106","0.1487","0.00002368","0.9924"
"90","0.1061","0.1489","0.0000241","0.9919"
"91","0.1064","0.1492","0.00002456","0.9918"
"92","0.1069","0.15","0.00002502","0.9917"
"93","0.107","0.15","0.00002547","0.9915"
"94","0.1067","0.1496","0.00002594","0.9911"
"95","0.1068","0.1497","0.00002644","0.991"
"96","0.1072","0.1502","0.00002692","0.9909"
"97","0.1073","0.1504","0.00002743","0.991"
"98","0.1077","0.151","0.00002793","0.9919"
"99","0.1079","0.1512","0.00002845","0.991"
"100","0.1083","0.1518","0.00002898","0.9909"
"101","0.1085","0.1522","0.00002951","0.9914"
"102","0.1093","0.1531","0.00003005","0.9909"
"103","0.1096","0.1535","0.00003062","0.9903"
"104","0.1095","0.1533","0.00003118","0.9904"
"105","0.1098","0.1538","0.00003175","0.9903"
"106","0.1103","0.1544","0.00003236","0.9898"
"107","0.1104","0.1546","0.00003294","0.99"
"108","0.1103","0.1543","0.00003356","0.9893"
"109","0.1105","0.1545","0.00003418","0.9889"
"110","0.1104","0.1545","0.00003482","0.9893"
"111","0.1103","0.1544","0.00003546","0.9899"
"112","0.1104","0.1545","0.00003612","0.9896"
"113","0.1104","0.1545","0.00003679","0.989"
"114","0.1109","0.1551","0.00003747","0.9894"
"115","0.1111","0.1554","0.00003817","0.989"
"116","0.111","0.1551","0.00003887","0.9883"
"117","0.1114","0.1557","0.00003959","0.9882"
"118","0.1112","0.1554","0.00004032","0.988"
"119","0.111","0.1553","0.00004108","0.989"
"120","0.1109","0.1548","0.00004182","0.9875"
"121","0.1109","0.1549","0.00004261","0.9877"
"122","0.1108","0.1547","0.00004341","0.987"
"123","0.1113","0.1554","0.0000442","0.987"
"124","0.1114","0.1555","0.00004502","0.9868"
"125","0.1114","0.1553","0.00004586","0.9861"
"126","0.1108","0.1545","0.00004671","0.9865"
"127","0.1107","0.1543","0.00004756","0.9856"
"128","0.1106","0.1539","0.00004846","0.9845"
"129","0.1102","0.1534","0.00004936","0.9844"
"130","0.1101","0.1534","0.00005027","0.9856"
"131","0.1098","0.1539","0.0000512","0.9912"
"132","0.1095","0.1534","0.00005215","0.9905"
"133","0.1094","0.1532","0.00005312","0.9897"
"134","0.1096","0.1532","0.0000541","0.9888"
"135","0.1089","0.1521","0.0000551","0.9877"
"136","0.1078","0.1506","0.00005613","0.9878"
"137","0.1071","0.1494","0.00005717","0.9868"
"138","0.1063","0.1482","0.00005822","0.9857"
"139","0.1061","0.1477","0.0000593","0.9846"
"140","0.1048","0.1458","0.00006041","0.9837"
"141","0.1045","0.1454","0.00006154","0.9837"
"142","0.1042","0.1448","0.00006267","0.9827"
"143","0.1038","0.1439","0.00006382","0.9808"
"144","0.1037","0.144","0.00006501","0.9812"
"145","0.1038","0.1441","0.00006622","0.981"
"146","0.1032","0.1431","0.00006744","0.9805"
"147","0.1024","0.142","0.0000687","0.9808"
"148","0.1019","0.1415","0.00006997","0.9816"
"149","0.1019","0.1413","0.00007126","0.981"
"150","0.1019","0.1422","0.00007259","0.9867"
"151","0.101","0.1413","0.00007393","0.9896"
"152","0.1011","0.1416","0.00007529","0.9898"
"153","0.1017","0.1423","0.00007669","0.9886"
"154","0.1012","0.1414","0.00007812","0.9875"
"155","0.1003","0.1401","0.00007957","0.9872"
"156","0.09968","0.1391","0.00008106","0.987"
"157","0.09988","0.1394","0.00008254","0.9871"
"158","0.09988","0.1393","0.00008408","0.986"
"159","0.1003","0.14","0.00008562","0.9867"
"160","0.1006","0.1402","0.00008722","0.9859"
"161","0.1006","0.1401","0.00008883","0.9851"
"162","0.1003","0.1398","0.00009049","0.986"
"163","0.1003","0.1399","0.00009216","0.9865"
"164","0.1007","0.1404","0.00009387","0.9859"
"165","0.1007","0.1404","0.00009561","0.9857"
"166","0.1006","0.1404","0.00009737","0.9872"
"167","0.1011","0.1411","0.00009916","0.9865"
"168","0.1021","0.1425","0.000101","0.987"
"169","0.1019","0.1423","0.0001029","0.9875"
"170","0.1025","0.1432","0.0001048","0.9879"
"171","0.1029","0.1439","0.0001068","0.989"
"172","0.1034","0.1446","0.0001087","0.9892"
"173","0.1035","0.1448","0.0001107","0.989"
"174","0.1038","0.1455","0.0001128","0.9906"
"175","0.1048","0.1469","0.0001149","0.991"
"176","0.1051","0.1473","0.000117","0.9911"
"177","0.1062","0.1491","0.0001192","0.9927"
"178","0.1064","0.1494","0.0001214","0.9933"
"179","0.1078","0.1516","0.0001236","0.995"
"180","0.1078","0.1518","0.0001259","0.9956"
"181","0.1085","0.153","0.0001283","0.9969"
"182","0.1086","0.1533","0.0001307","0.9976"
"183","0.1086","0.1535","0.0001331","0.9995"
"184","0.1099","0.1554","0.0001355","1"
"185","0.1098","0.1555","0.000138","1.002"
"186","0.1098","0.1557","0.0001406","1.003"
"187","0.1099","0.1559","0.0001432","1.003"
"188","0.11","0.1564","0.0001459","1.005"
"189","0.1108","0.1577","0.0001485","1.006"
"190","0.1126","0.1604","0.0001514","1.008"
"191","0.1137","0.1623","0.0001541","1.009"
"192","0.1144","0.1635","0.000157","1.011"
"193","0.1151","0.1645","0.0001599","1.011"
"194","0.1163","0.1664","0.0001629","1.012"
"195","0.1159","0.1662","0.0001659","1.014"
"196","0.1172","0.1681","0.000169","1.014"
"197","0.1185","0.1703","0.0001721","1.016"
"198","0.1187","0.1709","0.0001752","1.018"
"199","0.1198","0.1726","0.0001785","1.019"
"200","0.1211","0.1747","0.0001818","1.02"
"201","0.1219","0.1759","0.0001852","1.021"
"202","0.123","0.1779","0.0001886","1.023"
"203","0.1245","0.1798","0.0001921","1.021"
"204","0.1241","0.1796","0.0001957","1.023"
"205","0.1247","0.181","0.0001993","1.026"
"206","0.125","0.182","0.000203","1.029"
"207","0.126","0.1834","0.0002068","1.03"
"208","0.1251","0.1825","0.0002106","1.031"
"209","0.1251","0.1817","0.0002145","1.027"
"210","0.1246","0.1814","0.0002185","1.03"
"211","0.1255","0.1833","0.0002225","1.033"
"212","0.1255","0.1837","0.0002267","1.035"
"213","0.1255","0.1822","0.0002309","1.027"
"214","0.1261","0.1832","0.0002352","1.027"
"215","0.1265","0.1835","0.0002395","1.026"
"216","0.1269","0.1843","0.0002439","1.027"
"217","0.1269","0.1834","0.0002485","1.022"
"218","0.1274","0.184","0.0002531","1.022"
"219","0.1269","0.1834","0.0002578","1.022"
"220","0.1265","0.1828","0.0002626","1.022"
"221","0.1279","0.1848","0.0002674","1.021"
"222","0.1296","0.1869","0.0002724","1.019"
"223","0.13","0.1872","0.0002774","1.018"
"224","0.1304","0.1874","0.0002826","1.016"
"225","0.1296","0.1856","0.0002878","1.013"
"226","0.129","0.1843","0.0002931","1.01"
"227","0.1291","0.1837","0.0002986","1.006"
"228","0.1293","0.1832","0.0003041","1.002"
"229","0.1294","0.1825","0.0003098","0.9973"
"230","0.1316","0.1847","0.0003155","0.9922"
"231","0.1343","0.1877","0.0003213","0.9883"
"232","0.1354","0.1887","0.0003273","0.9855"
"233","0.1367","0.1897","0.0003334","0.9814"
"234","0.1388","0.1918","0.0003395","0.9776"
"235","0.1408","0.1943","0.0003459","0.9757"
"236","0.1432","0.1968","0.0003523","0.9719"
"237","0.1461","0.2005","0.0003588","0.9706"
"238","0.1475","0.2021","0.0003654","0.9685"
"239","0.1495","0.2054","0.0003722","0.9717"
"240","0.1501","0.207","0.0003791","0.975"
"241","0.1504","0.2069","0.0003861","0.9731"
"242","0.1495","0.2052","0.0003933","0.9707"
"243","0.1507","0.2069","0.0004006","0.9705"
"244","0.1487","0.2043","0.000408","0.9712"
"245","0.1458","0.2002","0.0004156","0.9715"
"246","0.1442","0.1979","0.0004233","0.9707"
"247","0.1428","0.1964","0.0004311","0.9724"
"248","0.1424","0.1969","0.0004392","0.9773"
"249","0.1412","0.1955","0.0004472","0.9792"
"250","0.1423","0.1978","0.0004556","0.983"
"251","0.1434","0.2006","0.000464","0.989"
"252","0.1451","0.2044","0.0004726","0.9961"
"253","0.1462","0.2073","0.0004813","1.002"
"254","0.1463","0.2089","0.0004903","1.01"
"255","0.1466","0.211","0.0004994","1.018"
"256","0.1473","0.2133","0.0005086","1.024"
"257","0.1487","0.2165","0.0005181","1.03"
"258","0.1513","0.2212","0.0005277","1.034"
"259","0.1525","0.2231","0.0005374","1.034"
"260","0.1516","0.2219","0.0005474","1.035"
"261","0.1531","0.2247","0.0005575","1.038"
"262","0.1535","0.2259","0.0005679","1.041"
"263","0.1539","0.2256","0.0005784","1.036"
"264","0.1545","0.2252","0.0005891","1.031"
"265","0.1554","0.2256","0.0006","1.026"
"266","0.1559","0.2259","0.0006112","1.024"
"267","0.1582","0.228","0.0006225","1.019"
"268","0.154","0.2202","0.000634","1.011"
"269","0.1503","0.2135","0.0006458","1.005"
"270","0.149","0.2103","0.0006578","0.9978"
"271","0.1516","0.2118","0.0006699","0.9878"
"272","0.1522","0.211","0.0006824","0.9802"
"273","0.1517","0.2086","0.000695","0.9723"
"274","0.1536","0.2104","0.0007079","0.9686"
"275","0.1568","0.2143","0.000721","0.9663"
"276","0.1592","0.2177","0.0007344","0.967"
"277","0.1592","0.218","0.000748","0.9679"
"278","0.159","0.2189","0.0007619","0.9736"
"279","0.1581","0.2173","0.000776","0.9717"
"280","0.1579","0.2191","0.0007904","0.9811"
"281","0.1628","0.227","0.000805","0.9863"
"282","0.1646","0.2318","0.00082","0.996"
"283","0.1636","0.2322","0.0008351","1.003"
"284","0.1664","0.2369","0.0008506","1.007"
"285","0.1677","0.2405","0.0008664","1.014"
"286","0.1725","0.2504","0.0008825","1.026"
"287","0.1731","0.2543","0.0008988","1.039"
"288","0.1728","0.2545","0.0009155","1.041"
"289","0.1743","0.2568","0.0009325","1.042"
"290","0.1778","0.2589","0.0009497","1.03"
"291","0.1756","0.2531","0.0009673","1.019"
"292","0.1721","0.246","0.0009853","1.011"
"293","0.1668","0.2343","0.001004","0.9933"
"294","0.1652","0.228","0.001022","0.9763"
"295","0.1659","0.2273","0.001041","0.9688"
"296","0.1664","0.2268","0.00106","0.9641"
"297","0.1691","0.2299","0.00108","0.9614"
"298","0.1654","0.2252","0.0011","0.9629"
"299","0.166","0.2276","0.00112","0.9692"
"300","0.1706","0.2371","0.001141","0.983"
"301","0.1784","0.2505","0.001162","0.9929"
"302","0.1819","0.2582","0.001184","1.004"
"303","0.1894","0.2716","0.001206","1.014"
"304","0.1912","0.277","0.001228","1.024"
"305","0.1841","0.2709","0.001251","1.04"
"306","0.1791","0.2638","0.001274","1.041"
"307","0.1731","0.2512","0.001298","1.026"
"308","0.1683","0.2414","0.001322","1.014"
"309","0.1619","0.2278","0.001346","0.9946"
"310","0.1612","0.2234","0.001371","0.9798"
"311","0.1652","0.2262","0.001397","0.9685"
"312","0.1675","0.2288","0.001423","0.9655"
"313","0.1675","0.2276","0.001449","0.9605"
"314","0.1659","0.2277","0.001476","0.9706"
"315","0.1709","0.2378","0.001503","0.9839"
"316","0.172","0.2448","0.001531","1.007"
"317","0.1762","0.2555","0.001559","1.025"
"318","0.1783","0.2633","0.001588","1.044"
"319","0.18","0.2659","0.001618","1.044"
"320","0.1822","0.2667","0.001648","1.035"
"321","0.1708","0.2442","0.001678","1.011"
"322","0.1665","0.2324","0.001709","0.9868"
"323","0.1629","0.2238","0.001741","0.9712"
"324","0.1656","0.2257","0.001773","0.9641"
"325","0.1634","0.2226","0.001806","0.963"
"326","0.1662","0.2279","0.00184","0.9696"
"327","0.1676","0.2341","0.001874","0.9874"
"328","0.1725","0.245","0.001909","1.004"
"329","0.1744","0.2545","0.001944","1.032"
"330","0.1777","0.2612","0.00198","1.04"
"331","0.1721","0.2487","0.002017","1.022"
"332","0.1634","0.2281","0.002054","0.9868"
"333","0.1627","0.2235","0.002092","0.9715"
"334","0.16","0.2165","0.002131","0.9569"
"335","0.1612","0.22","0.002171","0.9649"
"336","0.1702","0.2375","0.002211","0.9869"
"337","0.1805","0.2571","0.002252","1.007"
"338","0.1696","0.2489","0.002293","1.038"
"339","0.1593","0.2328","0.002336","1.033"
"340","0.1494","0.212","0.002379","1.004"
"341","0.1503","0.2079","0.002423","0.9781"
"342","0.1538","0.2094","0.002468","0.9624"
"343","0.1502","0.2047","0.002514","0.9636"
"344","0.1542","0.2168","0.002561","0.9938"
"345","0.1582","0.2299","0.002608","1.027"
"346","0.1613","0.2376","0.002657","1.042"
"347","0.1556","0.2241","0.002706","1.018"
"348","0.1483","0.2058","0.002756","0.9812"
"349","0.1491","0.2036","0.002807","0.9657"
"350","0.1467","0.1994","0.002859","0.9613"
"351","0.1498","0.2106","0.002912","0.9938"
"352","0.1552","0.2255","0.002966","1.027"
"353","0.1583","0.2311","0.003021","1.033"
"354","0.1482","0.2077","0.003077","0.9913"
"355","0.1456","0.1989","0.003134","0.9656"
"356","0.1434","0.1938","0.003192","0.9561"
"357","0.1548","0.2161","0.003251","0.987"
"358","0.1546","0.2239","0.003312","1.024"
"359","0.1405","0.2054","0.003373","1.034"
"360","0.1337","0.187","0.003435","0.9885"
"361","0.1374","0.1874","0.003499","0.9642"
"362","0.1366","0.1895","0.003564","0.9811"
"363","0.1417","0.2057","0.00363","1.026"
"364","0.1445","0.2174","0.003697","1.064"
"365","0.1376","0.1981","0.003766","1.018"
"366","0.1362","0.1898","0.003836","0.9853"
"367","0.135","0.188","0.003907","0.9849"
"368","0.1432","0.2071","0.003979","1.023"
"369","0.1527","0.2257","0.004053","1.045"
"370","0.1352","0.189","0.004128","0.9883"
"371","0.1306","0.1772","0.004205","0.9595"
"372","0.1407","0.1967","0.004283","0.9886"
"373","0.1354","0.1988","0.004362","1.038"
"374","0.1219","0.1736","0.004443","1.007"
"375","0.1249","0.1707","0.004525","0.9663"
"376","0.1248","0.1732","0.004609","0.9816"
"377","0.1272","0.1882","0.004695","1.046"
"378","0.1256","0.1813","0.004782","1.021"
"379","0.1234","0.1703","0.00487","0.9764"
"380","0.123","0.1718","0.004961","0.9875"
"381","0.1279","0.1882","0.005052","1.04"
"382","0.1244","0.1742","0.005146","0.99"
"383","0.1199","0.1618","0.005241","0.954"
"384","0.1336","0.1885","0.005339","0.9976"
"385","0.117","0.171","0.005438","1.033"
"386","0.1146","0.1578","0.005538","0.9734"
"387","0.1157","0.1609","0.005641","0.9834"
"388","0.1188","0.1774","0.005746","1.056"
"389","0.1142","0.1604","0.005852","0.993"
"390","0.1142","0.1571","0.005961","0.9727"
"391","0.1185","0.1732","0.006071","1.033"
"392","0.1165","0.1636","0.006184","0.9928"
"393","0.1144","0.1551","0.006298","0.959"
"394","0.1185","0.1715","0.006415","1.023"
"395","0.1063","0.148","0.006534","0.9843"
"396","0.1074","0.1468","0.006655","0.9658"
"397","0.1103","0.1634","0.006778","1.048"
"398","0.1066","0.148","0.006904","0.9818"
"399","0.1072","0.1496","0.007032","0.9865"
"400","0.1137","0.1657","0.007162","1.03"
"401","0.1062","0.1439","0.007295","0.9575"
"402","0.1146","0.1639","0.00743","1.011"
"403","0.1006","0.1399","0.007568","0.9833"
"404","0.1018","0.1412","0.007708","0.9807"
"405","0.1046","0.1537","0.007851","1.039"
"406","0.1023","0.1403","0.007997","0.97"
"407","0.1059","0.1552","0.008145","1.037"
"408","0.1018","0.1398","0.008296","0.9712"
"409","0.1098","0.1558","0.00845","1.003"
"410","0.09583","0.1329","0.008607","0.9806"
"411","0.09807","0.1382","0.008766","0.9966"
"412","0.09661","0.1375","0.008929","1.007"
"413","0.09693","0.1355","0.009094","0.9884"
"414","0.1006","0.1432","0.009263","1.007"
"415","0.1021","0.1408","0.009434","0.9753"
"416","0.09118","0.1287","0.009609","0.9984"
"417","0.09323","0.1304","0.009787","0.989"
"418","0.09175","0.1301","0.009969","1.002"
"419","0.09352","0.133","0.01015","1.005"
"420","0.09279","0.1285","0.01034","0.9791"
"421","0.09764","0.1402","0.01053","1.016"
"422","0.08882","0.1207","0.01073","0.9606"
"423","0.08942","0.1318","0.01093","1.042"
"424","0.08855","0.1225","0.01113","0.9779"
"425","0.09107","0.1289","0.01134","1.001"
"426","0.0944","0.1341","0.01155","1.005"
"427","0.08505","0.1156","0.01176","0.9614"
"428","0.08546","0.1251","0.01198","1.035"
"429","0.08522","0.1199","0.0122","0.9952"
"430","0.08432","0.1156","0.01243","0.9696"
"431","0.08261","0.1194","0.01266","1.022"
"432","0.08199","0.1155","0.01289","0.9957"
"433","0.08127","0.112","0.01313","0.9742"
"434","0.0844","0.1213","0.01337","1.017"
"435","0.08604","0.1229","0.01362","1.01"
"436","0.07919","0.1086","0.01387","0.9695"
"437","0.07788","0.1085","0.01413","0.9851"
"438","0.08109","0.1172","0.01439","1.022"
"439","0.08223","0.1178","0.01466","1.013"
"440","0.07658","0.1064","0.01493","0.9825"
"441","0.07517","0.1035","0.01521","0.9736"
"442","0.07597","0.1058","0.01549","0.9852"
"443","0.07293","0.1042","0.01578","1.01"
"444","0.07333","0.1072","0.01607","1.034"
"445","0.07396","0.1064","0.01637","1.017"
"446","0.07646","0.1065","0.01667","0.9851"
"447","0.07151","0.09873","0.01698","0.9763"
"448","0.07007","0.09678","0.0173","0.9766"
"449","0.06964","0.09521","0.01762","0.9667"
"450","0.06814","0.09325","0.01794","0.9676"
"451","0.06765","0.09395","0.01828","0.9819"
"452","0.06738","0.09287","0.01861","0.9746"
"453","0.06572","0.09031","0.01896","0.9716"
"454","0.06547","0.09092","0.01931","0.982"
"455","0.06504","0.08924","0.01967","0.9701"
"456","0.06439","0.08833","0.02003","0.9699"
"457","0.06368","0.08837","0.02041","0.9812"
"458","0.06608","0.09159","0.02078","0.9801"
"459","0.06288","0.08976","0.02117","1.009"
"460","0.06328","0.09115","0.02156","1.019"
"461","0.06177","0.08794","0.02196","1.007"
