"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.257","0.361","0.000004789","0.9933"
"2","0.3487","0.4885","0.000004849","0.9904"
"3","0.347","0.4847","0.000004876","0.9878"
"4","0.3532","0.4928","0.000004964","0.9864"
"5","0.357","0.4975","0.000005059","0.9853"
"6","0.359","0.4998","0.000005153","0.9843"
"7","0.363","0.5048","0.000005244","0.9835"
"8","0.3681","0.5114","0.000005348","0.9823"
"9","0.3727","0.5174","0.000005447","0.9818"
"10","0.3755","0.5212","0.00000555","0.9813"
"11","0.3777","0.5239","0.000005651","0.9808"
"12","0.3809","0.5283","0.000005753","0.9806"
"13","0.3818","0.5318","0.000005859","0.9849"
"14","0.3857","0.5376","0.000005961","0.9855"
"15","0.387","0.5391","0.000006075","0.9849"
"16","0.3919","0.5455","0.000006194","0.9843"
"17","0.3945","0.5492","0.000006312","0.9843"
"18","0.3961","0.5515","0.000006426","0.9844"
"19","0.3976","0.553","0.000006544","0.9835"
"20","0.3992","0.5553","0.000006664","0.9836"
"21","0.4043","0.5624","0.000006793","0.9838"
"22","0.4086","0.5683","0.000006916","0.9834"
"23","0.4133","0.5746","0.000007045","0.9832"
"24","0.416","0.5788","0.000007167","0.9838"
"25","0.4192","0.5826","0.000007305","0.9829"
"26","0.4208","0.5851","0.000007441","0.983"
"27","0.4229","0.588","0.000007578","0.9832"
"28","0.425","0.5951","0.000007732","0.9901"
"29","0.4298","0.6016","0.000007867","0.9897"
"30","0.4303","0.6024","0.000008009","0.9898"
"31","0.4305","0.6024","0.000008159","0.9896"
"32","0.4322","0.6049","0.000008314","0.9897"
"33","0.4348","0.6086","0.00000847","0.9897"
"34","0.4342","0.6077","0.000008616","0.9897"
"35","0.4304","0.6028","0.000008783","0.9904"
"36","0.4217","0.5907","0.000008944","0.9906"
"37","0.4121","0.5775","0.000009105","0.991"
"38","0.4095","0.5746","0.000009282","0.9923"
"39","0.4014","0.5635","0.000009449","0.9926"
"40","0.3968","0.5574","0.000009625","0.9934"
"41","0.3932","0.5525","0.000009798","0.9936"
"42","0.39","0.5485","0.000009977","0.9946"
"43","0.3917","0.5514","0.00001017","0.9953"
"44","0.3952","0.5563","0.00001036","0.9953"
"45","0.3929","0.5533","0.00001054","0.9959"
"46","0.3971","0.5593","0.00001075","0.9958"
"47","0.3986","0.5617","0.00001095","0.9966"
"48","0.4033","0.5684","0.00001115","0.9965"
"49","0.405","0.5711","0.00001136","0.9971"
"50","0.4077","0.5747","0.00001157","0.9968"
"51","0.4072","0.5746","0.00001177","0.9976"
"52","0.4115","0.5806","0.000012","0.9977"
"53","0.4066","0.574","0.00001223","0.9983"
"54","0.4021","0.5677","0.00001245","0.9985"
"55","0.397","0.5606","0.00001267","0.9985"
"56","0.3939","0.5565","0.00001291","0.999"
"57","0.3861","0.5457","0.00001315","0.9995"
"58","0.3801","0.5376","0.00001341","1"
"59","0.374","0.5289","0.00001364","1"
"60","0.3733","0.5282","0.0000139","1"
"61","0.3738","0.5291","0.00001416","1.001"
"62","0.3736","0.529","0.00001442","1.001"
"63","0.3759","0.5325","0.00001468","1.002"
"64","0.3754","0.5317","0.00001495","1.002"
"65","0.3803","0.5388","0.00001523","1.002"
"66","0.3853","0.546","0.00001552","1.002"
"67","0.3887","0.551","0.0000158","1.002"
"68","0.3856","0.5465","0.0000161","1.002"
"69","0.3797","0.5382","0.0000164","1.002"
"70","0.3708","0.526","0.0000167","1.003"
"71","0.3636","0.5161","0.000017","1.004"
"72","0.3656","0.519","0.00001734","1.004"
"73","0.3634","0.5165","0.00001764","1.005"
"74","0.3612","0.5136","0.00001797","1.006"
"75","0.3623","0.5153","0.0000183","1.006"
"76","0.3677","0.523","0.00001864","1.006"
"77","0.3717","0.5285","0.000019","1.005"
"78","0.3687","0.5238","0.00001934","1.004"
"79","0.3718","0.5285","0.00001969","1.005"
"80","0.3746","0.5325","0.00002007","1.005"
"81","0.3765","0.5354","0.00002044","1.005"
