"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000482","0.235","0.329","0.992"
"2","0.00000484","0.327","0.457","0.988"
"3","0.00000493","0.344","0.478","0.984"
"4","0.00000497","0.329","0.457","0.982"
"5","0.00000506","0.333","0.461","0.98"
"6","0.00000515","0.337","0.466","0.978"
"7","0.00000524","0.341","0.471","0.978"
"8","0.00000534","0.343","0.474","0.979"
"9","0.00000545","0.345","0.478","0.981"
"10","0.00000555","0.346","0.481","0.984"
"11","0.00000565","0.348","0.486","0.987"
"12","0.00000576","0.351","0.49","0.987"
"13","0.00000585","0.353","0.492","0.986"
"14","0.00000597","0.356","0.497","0.986"
"15","0.00000608","0.36","0.501","0.986"
"16","0.00000619","0.364","0.508","0.985"
"17","0.00000631","0.371","0.518","0.988"
"18","0.00000642","0.373","0.522","0.988"
"19","0.00000655","0.376","0.525","0.988"
"20","0.00000666","0.38","0.531","0.987"
"21","0.00000679","0.384","0.536","0.986"
"22","0.00000691","0.383","0.535","0.986"
"23","0.00000704","0.384","0.535","0.986"
"24","0.00000717","0.388","0.54","0.985"
"25","0.00000731","0.392","0.546","0.985"
"26","0.00000744","0.395","0.549","0.984"
"27","0.00000758","0.398","0.553","0.984"
"28","0.00000773","0.403","0.56","0.983"
"29","0.00000786","0.405","0.563","0.983"
"30","0.00000802","0.408","0.566","0.982"
"31","0.00000817","0.409","0.568","0.982"
"32","0.00000832","0.405","0.564","0.983"
"33","0.00000846","0.406","0.57","0.992"
"34","0.00000862","0.412","0.58","0.997"
"35","0.00000878","0.412","0.58","0.997"
"36","0.00000895","0.415","0.584","0.996"
"37","0.0000091","0.414","0.583","0.996"
"38","0.00000928","0.418","0.589","0.996"
"39","0.00000945","0.413","0.581","0.996"
"40","0.00000962","0.41","0.577","0.995"
"41","0.00000979","0.412","0.58","0.995"
"42","0.00000999","0.405","0.57","0.996"
"43","0.0000102","0.402","0.566","0.996"
"44","0.0000104","0.402","0.566","0.996"
"45","0.0000105","0.402","0.566","0.996"
"46","0.0000108","0.402","0.566","0.996"
"47","0.0000109","0.402","0.566","0.996"
"48","0.0000111","0.402","0.567","0.996"
"49","0.0000114","0.402","0.567","0.996"
"50","0.0000116","0.401","0.565","0.997"
"51","0.0000118","0.401","0.565","0.997"
"52","0.000012","0.398","0.56","0.997"
"53","0.0000122","0.397","0.561","0.997"
"54","0.0000124","0.401","0.565","0.996"
"55","0.0000127","0.399","0.562","0.997"
"56","0.0000129","0.404","0.569","0.996"
"57","0.0000131","0.406","0.572","0.996"
"58","0.0000134","0.407","0.574","0.996"
"59","0.0000136","0.413","0.582","0.996"
"60","0.0000139","0.42","0.591","0.996"
"61","0.0000142","0.424","0.596","0.995"
"62","0.0000144","0.426","0.6","0.996"
"63","0.0000147","0.425","0.598","0.994"
"64","0.000015","0.42","0.591","0.995"
"65","0.0000152","0.415","0.583","0.995"
"66","0.0000155","0.411","0.579","0.995"
"67","0.0000158","0.415","0.584","0.995"
"68","0.0000161","0.411","0.578","0.995"
"69","0.0000164","0.407","0.574","0.996"
"70","0.0000167","0.41","0.577","0.996"
"71","0.000017","0.41","0.578","0.996"
"72","0.0000173","0.411","0.58","0.996"
"73","0.0000176","0.409","0.576","0.997"
"74","0.000018","0.406","0.572","0.997"
"75","0.0000183","0.41","0.579","0.997"
"76","0.0000186","0.413","0.582","0.997"
"77","0.000019","0.41","0.578","0.998"
"78","0.0000194","0.407","0.575","0.998"
"79","0.0000197","0.404","0.57","0.998"
"80","0.0000201","0.396","0.56","0.999"
"81","0.0000204","0.391","0.552","0.999"
"82","0.0000208","0.393","0.556","1"
"83","0.0000212","0.39","0.551","0.999"
"84","0.0000216","0.375","0.53","1"
"85","0.000022","0.362","0.513","1"
"86","0.0000224","0.357","0.505","1"
"87","0.0000228","0.357","0.505","1"
"88","0.0000232","0.358","0.508","1"
"89","0.0000237","0.352","0.499","1"
"90","0.0000241","0.355","0.504","1"
"91","0.0000246","0.355","0.505","1"
"92","0.000025","0.356","0.506","1"
"93","0.0000255","0.365","0.518","1.01"
"94","0.000026","0.371","0.528","1.01"
"95","0.0000264","0.368","0.523","1.01"
"96","0.0000269","0.363","0.518","1.01"
"97","0.0000274","0.365","0.521","1.01"
"98","0.0000279","0.372","0.53","1.01"
"99","0.0000284","0.376","0.537","1.01"
"100","0.000029","0.376","0.538","1.01"
"101","0.0000295","0.376","0.537","1.01"
"102","0.0000301","0.376","0.535","1.01"
"103","0.0000306","0.373","0.531","1.01"
"104","0.0000312","0.369","0.525","1.01"
"105","0.0000318","0.356","0.508","1.01"
"106","0.0000323","0.348","0.497","1.01"
"107","0.000033","0.35","0.501","1.01"
"108","0.0000336","0.349","0.5","1.01"
"109","0.0000342","0.349","0.501","1.01"
"110","0.0000348","0.351","0.503","1.01"
"111","0.0000354","0.359","0.515","1.02"
"112","0.0000361","0.37","0.532","1.02"
"113","0.0000368","0.37","0.533","1.02"
"114","0.0000375","0.36","0.52","1.02"
"115","0.0000382","0.355","0.511","1.02"
"116","0.0000389","0.355","0.513","1.02"
"117","0.0000396","0.358","0.518","1.02"
"118","0.0000403","0.346","0.5","1.02"
"119","0.0000411","0.341","0.494","1.02"
"120","0.0000418","0.352","0.507","1.02"
"121","0.0000426","0.357","0.513","1.01"
"122","0.0000434","0.353","0.507","1.02"
"123","0.0000442","0.357","0.514","1.02"
"124","0.000045","0.361","0.52","1.02"
"125","0.0000459","0.358","0.517","1.02"
"126","0.0000467","0.357","0.516","1.02"
"127","0.0000476","0.35","0.507","1.02"
"128","0.0000485","0.357","0.518","1.03"
"129","0.0000494","0.377","0.548","1.03"
"130","0.0000502","0.386","0.559","1.02"
"131","0.0000512","0.382","0.556","1.03"
"132","0.0000521","0.405","0.59","1.03"
"133","0.0000531","0.409","0.594","1.03"
"134","0.0000541","0.401","0.582","1.03"
"135","0.0000551","0.396","0.572","1.02"
"136","0.0000561","0.4","0.577","1.02"
"137","0.0000572","0.399","0.575","1.02"
"138","0.0000582","0.395","0.569","1.02"
"139","0.0000593","0.392","0.567","1.02"
"140","0.0000604","0.396","0.573","1.02"
"141","0.0000616","0.415","0.603","1.03"
"142","0.0000627","0.401","0.578","1.02"
"143","0.0000638","0.392","0.566","1.02"
"144","0.0000651","0.397","0.573","1.02"
"145","0.0000662","0.392","0.567","1.02"
"146","0.0000674","0.366","0.531","1.02"
"147","0.0000687","0.374","0.543","1.03"
"148","0.00007","0.39","0.557","1.01"
"149","0.0000713","0.384","0.549","1.01"
"150","0.0000726","0.364","0.521","1.01"
"151","0.000074","0.38","0.545","1.01"
"152","0.0000753","0.359","0.516","1.02"
"153","0.0000767","0.359","0.517","1.02"
"154","0.0000781","0.355","0.511","1.02"
"155","0.0000796","0.34","0.489","1.02"
"156","0.000081","0.324","0.468","1.02"
"157","0.0000825","0.328","0.474","1.02"
"158","0.0000841","0.33","0.478","1.02"
"159","0.0000856","0.328","0.475","1.03"
"160","0.0000872","0.32","0.465","1.03"
"161","0.0000888","0.316","0.46","1.03"
"162","0.0000905","0.316","0.457","1.02"
"163","0.0000922","0.306","0.444","1.02"
"164","0.0000939","0.304","0.442","1.03"
"165","0.0000956","0.3","0.433","1.02"
