"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.01059","0.01486","0.000004691","0.9927"
"2","0.02424","0.03405","0.000004793","0.9933"
"3","0.03762","0.05283","0.000004877","0.993"
"4","0.05097","0.07158","0.000004978","0.9931"
"5","0.0643","0.09035","0.000005057","0.9936"
"6","0.07754","0.109","0.000005156","0.9941"
"7","0.09084","0.1277","0.000005246","0.9943"
"8","0.104","0.1462","0.000005349","0.994"
"9","0.1174","0.165","0.000005444","0.9941"
"10","0.1304","0.1834","0.000005549","0.9946"
"11","0.1435","0.202","0.000005654","0.9953"
"12","0.1567","0.2204","0.000005753","0.9945"
"13","0.1696","0.2388","0.000005854","0.9955"
"14","0.1823","0.2568","0.000005964","0.996"
"15","0.1948","0.2745","0.000006078","0.9961"
"16","0.207","0.2914","0.000006193","0.9958"
"17","0.2182","0.3075","0.000006306","0.9964"
"18","0.2285","0.3221","0.000006424","0.9966"
"19","0.2373","0.3344","0.000006546","0.9965"
"20","0.2444","0.3444","0.000006664","0.9962"
"21","0.2495","0.3516","0.000006787","0.9962"
"22","0.2535","0.3568","0.000006918","0.9953"
"23","0.2562","0.3605","0.000007048","0.995"
"24","0.2579","0.3631","0.00000717","0.9956"
"25","0.2594","0.3651","0.000007313","0.9954"
"26","0.2604","0.3665","0.000007444","0.9952"
"27","0.2611","0.3674","0.000007582","0.995"
"28","0.2615","0.3681","0.000007699","0.9955"
"29","0.2619","0.3684","0.000007879","0.9948"
"30","0.2621","0.3686","0.000008001","0.9946"
"31","0.2622","0.369","0.000008178","0.9949"
"32","0.2629","0.3698","0.000008302","0.9945"
"33","0.2635","0.3706","0.000008473","0.9945"
"34","0.2644","0.3717","0.000008619","0.9939"
"35","0.2654","0.3729","0.000008785","0.9937"
"36","0.2665","0.3745","0.000008946","0.9935"
"37","0.2676","0.376","0.000009112","0.9934"
"38","0.2685","0.3775","0.000009272","0.9939"
"39","0.2696","0.3788","0.000009455","0.9936"
"40","0.2704","0.3799","0.000009633","0.9934"
"41","0.271","0.3807","0.000009796","0.9934"
"42","0.2716","0.3814","0.000009982","0.993"
"43","0.2721","0.3824","0.00001016","0.9938"
"44","0.2731","0.3836","0.00001037","0.9933"
"45","0.2736","0.3846","0.00001055","0.9939"
"46","0.2749","0.386","0.00001074","0.9929"
"47","0.2761","0.3878","0.00001095","0.9931"
"48","0.2775","0.3897","0.00001115","0.993"
"49","0.2787","0.3913","0.00001135","0.9928"
"50","0.2795","0.3924","0.00001156","0.9929"
"51","0.2803","0.3936","0.00001179","0.9929"
"52","0.2813","0.3948","0.00001201","0.9925"
"53","0.2809","0.3945","0.0000122","0.993"
"54","0.2826","0.3963","0.00001244","0.9914"
"55","0.2831","0.3974","0.00001271","0.9926"
"56","0.2843","0.3988","0.00001298","0.9921"
"57","0.2852","0.4001","0.00001316","0.9921"
"58","0.2862","0.4014","0.0000134","0.9918"
"59","0.2879","0.4035","0.00001364","0.991"
"60","0.2888","0.405","0.0000139","0.9916"
"61","0.2895","0.406","0.00001415","0.9917"
"62","0.2901","0.4066","0.00001441","0.9912"
"63","0.2906","0.4074","0.00001469","0.9911"
"64","0.2916","0.4084","0.00001495","0.9905"
"65","0.293","0.4105","0.00001524","0.9907"
"66","0.2939","0.4117","0.00001552","0.9906"
"67","0.2946","0.4126","0.0000158","0.9905"
"68","0.2955","0.4139","0.0000161","0.9905"
"69","0.2964","0.4154","0.00001639","0.9908"
"70","0.2973","0.4166","0.0000167","0.9907"
"71","0.2985","0.4177","0.000017","0.9895"
"72","0.2988","0.4181","0.00001733","0.9893"
"73","0.2991","0.4186","0.00001763","0.9896"
"74","0.2999","0.4197","0.00001797","0.9895"
"75","0.3009","0.4209","0.0000183","0.9892"
"76","0.3022","0.4222","0.00001864","0.9881"
"77","0.3033","0.4241","0.00001898","0.9887"
"78","0.3041","0.4253","0.00001934","0.989"
"79","0.3051","0.4268","0.00001971","0.9891"
"80","0.307","0.4294","0.00002007","0.9892"
"81","0.3086","0.4316","0.00002045","0.9891"
"82","0.3096","0.433","0.00002086","0.989"
"83","0.3098","0.4331","0.00002121","0.9885"
"84","0.3108","0.4343","0.00002159","0.9881"
"85","0.3116","0.4354","0.000022","0.988"
"86","0.312","0.436","0.0000224","0.988"
"87","0.3127","0.4368","0.00002283","0.9876"
"88","0.3133","0.4375","0.00002323","0.9872"
"89","0.314","0.4384","0.00002368","0.9871"
"90","0.3146","0.4392","0.00002411","0.9872"
"91","0.3151","0.4398","0.00002456","0.9871"
"92","0.3147","0.4396","0.00002501","0.9877"
"93","0.3155","0.4406","0.00002548","0.9875"
"94","0.3163","0.4415","0.00002595","0.9871"
"95","0.3169","0.4422","0.00002644","0.9867"
"96","0.3173","0.4427","0.00002692","0.9864"
"97","0.3186","0.4444","0.00002741","0.9862"
"98","0.3195","0.4454","0.00002793","0.9859"
"99","0.3204","0.4463","0.00002844","0.9849"
"100","0.3216","0.4485","0.00002898","0.9862"
"101","0.323","0.4508","0.0000295","0.987"
"102","0.3231","0.451","0.00003006","0.9869"
"103","0.3228","0.4502","0.00003062","0.9861"
"104","0.3229","0.4502","0.00003118","0.9859"
"105","0.3238","0.4511","0.00003176","0.9852"
"106","0.3249","0.4526","0.00003236","0.9849"
"107","0.325","0.4526","0.00003297","0.9846"
"108","0.3255","0.4532","0.00003356","0.9844"
"109","0.3258","0.4534","0.00003419","0.984"
"110","0.3266","0.4543","0.0000348","0.9836"
"111","0.3279","0.4564","0.00003547","0.9844"
"112","0.3289","0.4576","0.00003612","0.9839"
"113","0.3303","0.4588","0.00003679","0.9821"
"114","0.3304","0.4604","0.00003747","0.9854"
"115","0.3303","0.4604","0.00003816","0.9856"
"116","0.3314","0.4616","0.00003887","0.985"
"117","0.3316","0.4618","0.00003958","0.9845"
"118","0.3313","0.4612","0.00004032","0.9843"
"119","0.3308","0.4606","0.00004106","0.9845"
"120","0.3314","0.4607","0.00004184","0.983"
"121","0.3319","0.4615","0.00004259","0.9832"
"122","0.332","0.4615","0.00004339","0.9828"
"123","0.3328","0.4622","0.00004422","0.9822"
"124","0.3337","0.4632","0.00004502","0.9813"
"125","0.3339","0.4635","0.00004587","0.9814"
"126","0.3341","0.4641","0.0000467","0.9823"
"127","0.3338","0.4636","0.00004759","0.9822"
