"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.04106","0.05935","0.2821","1.022"
"2","0.04143","0.05992","0.277","1.023"
"3","0.04221","0.06107","0.272","1.023"
"4","0.04191","0.06054","0.267","1.021"
"5","0.03999","0.05772","0.2622","1.02"
"6","0.04153","0.05997","0.2574","1.021"
"7","0.0404","0.05825","0.2527","1.02"
"8","0.04187","0.06049","0.2481","1.022"
"9","0.04","0.05776","0.2436","1.021"
"10","0.04001","0.05766","0.2391","1.019"
"11","0.04048","0.05828","0.2348","1.018"
"12","0.0399","0.05753","0.2305","1.019"
"13","0.03985","0.05742","0.2263","1.019"
"14","0.0398","0.05732","0.2222","1.018"
"15","0.03939","0.05669","0.2182","1.018"
"16","0.03977","0.05729","0.2142","1.019"
"17","0.03969","0.05711","0.2103","1.017"
"18","0.03824","0.05494","0.2065","1.016"
"19","0.03969","0.05718","0.2027","1.019"
"20","0.03945","0.05664","0.199","1.015"
"21","0.03942","0.0567","0.1954","1.017"
"22","0.03877","0.05558","0.1918","1.014"
"23","0.03992","0.05741","0.1884","1.017"
"24","0.03967","0.05701","0.1849","1.016"
"25","0.03856","0.05526","0.1816","1.013"
"26","0.03864","0.05546","0.1783","1.015"
"27","0.03995","0.05706","0.175","1.01"
"28","0.04037","0.05778","0.1718","1.012"
"29","0.04038","0.05778","0.1687","1.012"
"30","0.03996","0.05702","0.1656","1.009"
"31","0.03973","0.05685","0.1626","1.012"
"32","0.03939","0.05631","0.1597","1.011"
"33","0.03947","0.05656","0.1567","1.013"
"34","0.04086","0.0586","0.1539","1.014"
"35","0.04049","0.05783","0.1511","1.01"
"36","0.04022","0.05751","0.1484","1.011"
"37","0.04158","0.05954","0.1456","1.013"
"38","0.04055","0.05784","0.143","1.009"
"39","0.04216","0.06038","0.1404","1.013"
"40","0.04108","0.05876","0.1378","1.011"
"41","0.04167","0.05941","0.1353","1.008"
"42","0.04189","0.05965","0.1329","1.007"
"43","0.04212","0.05987","0.1304","1.005"
"44","0.04239","0.0605","0.1281","1.009"
"45","0.04342","0.06231","0.1257","1.015"
"46","0.04328","0.06162","0.1235","1.007"
"47","0.04353","0.06218","0.1212","1.01"
"48","0.04393","0.06247","0.119","1.005"
"49","0.04449","0.06335","0.1168","1.007"
"50","0.04488","0.06396","0.1147","1.008"
"51","0.04516","0.06435","0.1126","1.008"
"52","0.04544","0.06479","0.1106","1.008"
"53","0.04607","0.06573","0.1086","1.009"
"54","0.04663","0.06641","0.1066","1.007"
"55","0.04697","0.06683","0.1046","1.006"
"56","0.04765","0.06788","0.1027","1.007"
"57","0.0476","0.06785","0.1009","1.008"
"58","0.04794","0.06795","0.09903","1.002"
"59","0.04921","0.06994","0.09723","1.005"
"60","0.04981","0.07085","0.09546","1.006"
"61","0.05042","0.0718","0.09372","1.007"
"62","0.05089","0.07233","0.09201","1.005"
"63","0.05073","0.07153","0.09034","0.997"
"64","0.0506","0.07211","0.08869","1.008"
"65","0.05266","0.07508","0.08708","1.008"
"66","0.05212","0.07389","0.0855","1.002"
"67","0.05393","0.07686","0.08394","1.008"
"68","0.05315","0.07555","0.08241","1.005"
"69","0.05479","0.07747","0.08091","0.9998"
"70","0.05485","0.07843","0.07944","1.011"
"71","0.05616","0.0796","0.07799","1.002"
"72","0.05727","0.0813","0.07657","1.004"
"73","0.05636","0.08042","0.07518","1.009"
"74","0.05842","0.08257","0.07381","0.9993"
"75","0.05942","0.084","0.07247","0.9996"
"76","0.05865","0.08355","0.07115","1.007"
"77","0.05954","0.08502","0.06986","1.01"
"78","0.06178","0.08727","0.06858","0.9988"
"79","0.06192","0.08724","0.06734","0.9963"
"80","0.06332","0.09024","0.06611","1.008"
"81","0.06192","0.0881","0.06491","1.006"
"82","0.06318","0.09013","0.06373","1.009"
"83","0.064","0.09168","0.06257","1.013"
"84","0.06462","0.09111","0.06143","0.997"
"85","0.06719","0.09421","0.06031","0.9915"
"86","0.06896","0.09729","0.05921","0.9976"
"87","0.06994","0.09913","0.05813","1.002"
"88","0.07073","0.1004","0.05708","1.004"
"89","0.07174","0.1018","0.05604","1.003"
"90","0.07288","0.1032","0.05502","1.001"
"91","0.07352","0.1034","0.05402","0.9946"
"92","0.07297","0.1021","0.05303","0.9896"
"93","0.072","0.1014","0.05207","0.9961"
"94","0.07279","0.1045","0.05112","1.015"
"95","0.07431","0.106","0.05019","1.009"
"96","0.07398","0.1049","0.04928","1.003"
"97","0.07671","0.1101","0.04838","1.015"
"98","0.07944","0.1111","0.0475","0.9889"
"99","0.08191","0.1161","0.04663","1.002"
"100","0.07949","0.1117","0.04579","0.9933"
"101","0.07964","0.114","0.04495","1.012"
"102","0.07952","0.1135","0.04413","1.01"
"103","0.08462","0.1186","0.04333","0.9913"
"104","0.08688","0.1223","0.04254","0.9958"
"105","0.08297","0.1186","0.04177","1.011"
"106","0.08365","0.1194","0.04101","1.009"
"107","0.08968","0.1259","0.04026","0.9926"
"108","0.0881","0.1242","0.03953","0.997"
"109","0.08723","0.1244","0.03881","1.008"
"110","0.09172","0.1292","0.0381","0.9964"
"111","0.0922","0.1301","0.03741","0.9974"
"112","0.09033","0.1292","0.03673","1.011"
"113","0.09592","0.1352","0.03606","0.9968"
"114","0.09423","0.1335","0.0354","1.002"
"115","0.09365","0.1336","0.03476","1.009"
"116","0.1029","0.1435","0.03413","0.9864"
"117","0.09511","0.1352","0.03351","1.006"
"118","0.1001","0.1419","0.0329","1.002"
"119","0.09993","0.1419","0.0323","1.004"
"120","0.09844","0.1388","0.03171","0.9972"
"121","0.1046","0.1479","0.03113","0.9994"
"122","0.102","0.1463","0.03057","1.014"
"123","0.1108","0.1539","0.03001","0.982"
"124","0.1038","0.1499","0.02946","1.022"
"125","0.1153","0.1593","0.02893","0.9774"
"126","0.1059","0.1533","0.0284","1.023"
"127","0.1181","0.1629","0.02788","0.9753"
"128","0.1086","0.1574","0.02738","1.025"
"129","0.1192","0.1644","0.02688","0.9752"
"130","0.1119","0.1615","0.02639","1.021"
"131","0.1177","0.1658","0.02591","0.9963"
"132","0.1135","0.1593","0.02544","0.992"
"133","0.1182","0.1698","0.02497","1.016"
"134","0.1134","0.1608","0.02452","1.002"
"135","0.1176","0.1636","0.02407","0.9834"
"136","0.1292","0.1822","0.02364","0.9968"
"137","0.1194","0.1742","0.02321","1.031"
"138","0.127","0.1786","0.02278","0.9947"
"139","0.1195","0.1658","0.02237","0.9814"
"140","0.1256","0.1751","0.02196","0.9859"
"141","0.1369","0.1923","0.02156","0.9937"
"142","0.127","0.1855","0.02117","1.032"
"143","0.132","0.1909","0.02078","1.023"
"144","0.1278","0.1839","0.02041","1.018"
"145","0.1281","0.1852","0.02003","1.023"
"146","0.1372","0.1939","0.01967","0.9995"
"147","0.1276","0.1804","0.01931","1"
"148","0.1321","0.1877","0.01896","1.004"
"149","0.1419","0.1989","0.01861","0.9914"
"150","0.1311","0.1858","0.01828","1.002"
"151","0.1358","0.1956","0.01794","1.018"
"152","0.1443","0.2071","0.01762","1.015"
"153","0.1395","0.2021","0.0173","1.024"
"154","0.1422","0.2099","0.01698","1.044"
"155","0.1479","0.2136","0.01667","1.021"
"156","0.159","0.2216","0.01637","0.985"
"157","0.1463","0.2027","0.01607","0.9795"
"158","0.1469","0.2026","0.01578","0.9755"
"159","0.1552","0.2172","0.01549","0.9899"
"160","0.1469","0.2132","0.01521","1.026"
"161","0.1532","0.2249","0.01493","1.038"
"162","0.1563","0.2176","0.01466","0.9842"
"163","0.1632","0.2216","0.01439","0.9606"
"164","0.1482","0.2121","0.01413","1.012"
"165","0.1582","0.2339","0.01387","1.046"
"166","0.1617","0.2246","0.01362","0.9821"
"167","0.167","0.2286","0.01337","0.9681"
"168","0.1569","0.2286","0.01313","1.03"
"169","0.1647","0.2353","0.01289","1.01"
"170","0.1631","0.2244","0.01266","0.9728"
"171","0.1687","0.2451","0.01243","1.027"
"172","0.182","0.2538","0.0122","0.9863"
"173","0.1621","0.2233","0.01198","0.9739"
"174","0.168","0.2499","0.01176","1.052"
"175","0.1735","0.2401","0.01155","0.9785"
"176","0.1767","0.2485","0.01134","0.9942"
"177","0.1859","0.265","0.01113","1.008"
"178","0.1698","0.2329","0.01093","0.9699"
"179","0.1756","0.2619","0.01073","1.055"
"180","0.1788","0.2453","0.01053","0.9701"
"181","0.1818","0.2642","0.01034","1.028"
"182","0.1944","0.2655","0.01015","0.966"
"183","0.1716","0.2455","0.009969","1.012"
"184","0.1865","0.2626","0.009787","0.9954"
"185","0.1808","0.2566","0.009609","1.003"
"186","0.1914","0.2669","0.009434","0.9858"
"187","0.1904","0.2671","0.009263","0.9922"
"188","0.2044","0.2825","0.009094","0.9772"
"189","0.1795","0.2574","0.008929","1.014"
"190","0.1937","0.2695","0.008766","0.9837"
"191","0.1917","0.2822","0.008607","1.041"
