"Data Series Information"
"Name:","","","CTAB 0.5% 1"
""
"Meas. Pts.","Shear Rate","Shear Stress","Viscosity"
"","[1/s]","[Pa]","[Pa新]"
"1","100","5.82","0.0582"
"2","113","6.46","0.0572"
"3","127","7.05","0.0553"
"4","144","7.8","0.0542"
"5","162","8.67","0.0534"
"6","183","9.67","0.0527"
"7","207","10.8","0.0523"
"8","234","12.1","0.0517"
"9","264","13.6","0.0516"
"10","298","15.4","0.0516"
"11","336","17.3","0.0513"
"12","379","19.4","0.0511"
"13","428","21.8","0.051"
"14","483","24.6","0.051"
"15","546","27.8","0.0509"
"16","616","31.3","0.0509"
"17","695","35.3","0.0508"
"18","785","39.8","0.0508"
"19","886","44.9","0.0507"
"20","1,000","50.6","0.0506"
""
"Data Series Information"
"Name:","","","CTAB 1% 1"
""
"Meas. Pts.","Shear Rate","Shear Stress","Viscosity"
"","[1/s]","[Pa]","[Pa新]"
"1","100","6.6","0.066"
"2","113","7.44","0.0659"
"3","127","8.27","0.0649"
"4","144","9.18","0.0638"
"5","162","10.2","0.0629"
"6","183","11.3","0.0617"
"7","207","12.6","0.0609"
"8","234","14.1","0.0604"
"9","264","15.7","0.0597"
"10","298","17.7","0.0594"
"11","336","19.9","0.0591"
"12","379","22.2","0.0586"
"13","428","25","0.0584"
"14","483","28.1","0.0581"
"15","546","31.5","0.0578"
"16","616","35.5","0.0576"
"17","695","39.9","0.0573"
"18","785","44.8","0.0571"
"19","886","50.4","0.0569"
"20","1,000","56.7","0.0567"
""
"Data Series Information"
"Name:","","","CTAB 3% 1"
""
"Meas. Pts.","Shear Rate","Shear Stress","Viscosity"
"","[1/s]","[Pa]","[Pa新]"
"1","100","6.5","0.065"
"2","113","7.28","0.0645"
"3","127","8.16","0.064"
"4","144","9.13","0.0635"
"5","162","10.2","0.0629"
"6","183","11.5","0.0625"
"7","207","12.9","0.0621"
"8","234","14.4","0.0618"
"9","264","16.2","0.0614"
"10","298","18.1","0.0608"
"11","336","20.3","0.0605"
"12","379","22.8","0.06"
"13","428","25.6","0.0598"
"14","483","28.8","0.0596"
"15","546","32.4","0.0594"
"16","616","36.4","0.0591"
"17","695","40.9","0.0589"
"18","785","46.1","0.0587"
"19","886","51.8","0.0585"
"20","1,000","58.4","0.0584"
""
"Data Series Information"
"Name:","","","CTAB 5% 1"
""
"Meas. Pts.","Shear Rate","Shear Stress","Viscosity"
"","[1/s]","[Pa]","[Pa新]"
"1","100","7.36","0.0736"
"2","113","8.14","0.0721"
"3","127","9.04","0.0709"
"4","144","10.1","0.0701"
"5","162","11.2","0.069"
"6","183","12.5","0.0683"
"7","207","14","0.0678"
"8","234","15.7","0.0673"
"9","264","17.7","0.0671"
"10","298","19.8","0.0664"
"11","336","22.2","0.0661"
"12","379","24.8","0.0655"
"13","428","27.9","0.0652"
"14","483","31.4","0.065"
"15","546","35.4","0.0648"
"16","616","39.8","0.0646"
"17","695","44.8","0.0645"
"18","785","50.5","0.0643"
"19","886","57.2","0.0645"
"20","1,000","65.1","0.0651"
