"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.01057","0.01487","0.0000047","0.9954"
"2","0.02422","0.03408","0.000004788","0.9951"
"3","0.03757","0.0529","0.000004876","0.9956"
"4","0.05086","0.07166","0.000004959","0.9961"
"5","0.06408","0.09029","0.000005064","0.9963"
"6","0.07732","0.1089","0.000005156","0.9962"
"7","0.09049","0.1274","0.000005247","0.9959"
"8","0.1035","0.146","0.000005341","0.997"
"9","0.1167","0.1644","0.000005438","0.9968"
"10","0.1296","0.1827","0.000005545","0.9971"
"11","0.1425","0.2009","0.000005649","0.997"
"12","0.1552","0.2189","0.000005757","0.9975"
"13","0.1679","0.2368","0.000005867","0.9974"
"14","0.1803","0.2543","0.000005969","0.9974"
"15","0.1921","0.271","0.000006082","0.9973"
"16","0.2033","0.2867","0.000006191","0.9974"
"17","0.2132","0.3008","0.000006308","0.9977"
"18","0.2217","0.3126","0.000006425","0.9971"
"19","0.2281","0.3217","0.000006541","0.9973"
"20","0.233","0.3285","0.000006662","0.9972"
"21","0.2362","0.3331","0.000006787","0.9972"
"22","0.2383","0.336","0.000006917","0.997"
"23","0.2397","0.3379","0.000007041","0.9969"
"24","0.2405","0.339","0.000007175","0.9969"
"25","0.241","0.3397","0.000007305","0.9965"
"26","0.2414","0.3403","0.000007442","0.9966"
"27","0.242","0.3412","0.000007582","0.9971"
"28","0.2425","0.3418","0.000007718","0.9966"
"29","0.2427","0.3421","0.000007869","0.9967"
"30","0.243","0.3425","0.000008012","0.9965"
"31","0.2435","0.343","0.000008154","0.9962"
"32","0.2439","0.3436","0.000008309","0.9962"
"33","0.2443","0.3439","0.000008463","0.9955"
"34","0.2445","0.3442","0.00000862","0.9954"
"35","0.2446","0.3445","0.000008776","0.996"
"36","0.245","0.3449","0.000008947","0.9952"
"37","0.2454","0.3455","0.000009107","0.9953"
"38","0.2464","0.3465","0.000009279","0.9943"
"39","0.2469","0.3472","0.000009455","0.9945"
"40","0.2474","0.348","0.000009631","0.9946"
"41","0.2482","0.3489","0.000009806","0.9941"
"42","0.2489","0.3498","0.000009981","0.994"
"43","0.2494","0.3507","0.00001017","0.994"
"44","0.2501","0.3516","0.00001036","0.994"
"45","0.2508","0.3524","0.00001055","0.9939"
"46","0.2515","0.3535","0.00001074","0.9939"
"47","0.2528","0.3552","0.00001095","0.9936"
"48","0.2534","0.3561","0.00001115","0.9936"
"49","0.2543","0.3572","0.00001136","0.9932"
"50","0.2551","0.3583","0.00001156","0.9931"
"51","0.256","0.3593","0.00001178","0.9927"
"52","0.2567","0.3605","0.000012","0.9928"
"53","0.2573","0.3611","0.00001222","0.9925"
"54","0.2579","0.3618","0.00001245","0.9923"
"55","0.259","0.3634","0.00001268","0.992"
"56","0.2598","0.3647","0.00001291","0.9924"
"57","0.2609","0.366","0.00001315","0.9918"
"58","0.2618","0.3673","0.0000134","0.992"
"59","0.2628","0.3688","0.00001364","0.9922"
"60","0.2639","0.3698","0.0000139","0.9911"
"61","0.2646","0.371","0.00001415","0.9915"
"62","0.265","0.3716","0.00001441","0.9916"
"63","0.265","0.3715","0.00001468","0.9912"
"64","0.2649","0.3714","0.00001495","0.9912"
"65","0.2653","0.3718","0.00001523","0.9908"
"66","0.266","0.3727","0.00001552","0.9908"
"67","0.2667","0.3738","0.0000158","0.9909"
"68","0.2673","0.3746","0.0000161","0.9909"
"69","0.268","0.3754","0.00001639","0.9905"
"70","0.2685","0.3763","0.0000167","0.9909"
"71","0.2689","0.3768","0.00001701","0.9907"
"72","0.269","0.377","0.00001733","0.9908"
"73","0.2707","0.3785","0.00001764","0.9888"
"74","0.272","0.3803","0.00001798","0.9886"
"75","0.2731","0.3818","0.00001831","0.9887"
"76","0.274","0.3832","0.00001864","0.9889"
"77","0.2746","0.3838","0.00001899","0.9885"
"78","0.2752","0.3845","0.00001934","0.988"
"79","0.2758","0.3856","0.0000197","0.9885"
"80","0.2767","0.3867","0.00002006","0.9881"
"81","0.2778","0.3879","0.00002044","0.9873"
"82","0.2784","0.3891","0.00002081","0.9884"
"83","0.2789","0.3899","0.00002121","0.9883"
"84","0.2779","0.3915","0.00002159","0.9961"
"85","0.2793","0.3935","0.000022","0.9962"
"86","0.2797","0.3939","0.0000224","0.9959"
"87","0.2801","0.3946","0.00002282","0.9962"
"88","0.2813","0.3961","0.00002324","0.9957"
"89","0.2827","0.398","0.00002367","0.9955"
"90","0.2842","0.3996","0.00002412","0.9943"
"91","0.285","0.4005","0.00002456","0.9936"
"92","0.2857","0.4015","0.00002501","0.994"
"93","0.2868","0.4029","0.00002548","0.9932"
"94","0.2878","0.4045","0.00002595","0.9937"
"95","0.2888","0.4057","0.00002643","0.9933"
"96","0.2888","0.4057","0.00002692","0.9935"
"97","0.2889","0.4056","0.00002742","0.9929"
"98","0.2895","0.4062","0.00002793","0.9922"
"99","0.2901","0.4067","0.00002845","0.9916"
"100","0.2907","0.4076","0.00002897","0.9915"
"101","0.2914","0.4087","0.00002952","0.9918"
"102","0.2921","0.4094","0.00003006","0.991"
"103","0.2937","0.4115","0.00003062","0.9908"
"104","0.2946","0.4128","0.00003118","0.9908"
"105","0.2953","0.4136","0.00003176","0.9903"
"106","0.2958","0.4144","0.00003235","0.9905"
"107","0.2966","0.4151","0.00003295","0.9896"
"108","0.2974","0.4162","0.00003356","0.9896"
"109","0.2986","0.4177","0.00003418","0.9891"
"110","0.299","0.4182","0.00003481","0.9889"
"111","0.2995","0.4187","0.00003546","0.9884"
"112","0.3002","0.4192","0.00003612","0.9873"
"113","0.2997","0.4183","0.00003679","0.9871"
"114","0.2999","0.4184","0.00003747","0.9866"
"115","0.3011","0.42","0.00003817","0.9864"
"116","0.3016","0.4208","0.00003888","0.9864"
"117","0.3019","0.4208","0.0000396","0.9857"
"118","0.302","0.4208","0.00004032","0.9852"
"119","0.3027","0.4224","0.00004108","0.9867"
"120","0.303","0.4228","0.00004183","0.9867"
"121","0.303","0.4236","0.00004262","0.9885"
"122","0.3025","0.4244","0.00004339","0.992"
"123","0.3025","0.4242","0.00004421","0.9914"
"124","0.3026","0.4242","0.00004502","0.9913"
