"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.04113","0.05941","0.2821","1.021"
"2","0.04168","0.06021","0.277","1.022"
"3","0.04223","0.06095","0.272","1.021"
"4","0.04061","0.05848","0.267","1.018"
"5","0.03963","0.05705","0.2621","1.018"
"6","0.04163","0.06007","0.2573","1.02"
"7","0.03921","0.05636","0.2526","1.016"
"8","0.04027","0.05797","0.2481","1.018"
"9","0.03946","0.05674","0.2435","1.017"
"10","0.03956","0.05678","0.2391","1.015"
"11","0.03928","0.05648","0.2348","1.017"
"12","0.03962","0.05694","0.2305","1.016"
"13","0.03931","0.0565","0.2263","1.016"
"14","0.03908","0.0562","0.2222","1.017"
"15","0.03937","0.05657","0.2181","1.016"
"16","0.03931","0.05655","0.2141","1.017"
"17","0.03939","0.05659","0.2103","1.016"
"18","0.0391","0.05615","0.2065","1.015"
"19","0.03944","0.05667","0.2027","1.016"
"20","0.03833","0.05487","0.199","1.012"
"21","0.03967","0.05707","0.1954","1.017"
"22","0.0382","0.05463","0.1918","1.011"
"23","0.04017","0.05755","0.1883","1.013"
"24","0.03931","0.05645","0.1849","1.015"
"25","0.0386","0.05526","0.1816","1.012"
"26","0.03916","0.05586","0.1783","1.009"
"27","0.03881","0.05551","0.175","1.011"
"28","0.03954","0.05636","0.1718","1.008"
"29","0.03962","0.05646","0.1687","1.008"
"30","0.03963","0.05658","0.1656","1.01"
"31","0.03957","0.05656","0.1626","1.011"
"32","0.03955","0.05635","0.1596","1.007"
"33","0.04056","0.05814","0.1568","1.013"
"34","0.04129","0.05914","0.1539","1.013"
"35","0.0408","0.05812","0.1511","1.007"
"36","0.04044","0.05773","0.1483","1.01"
"37","0.04136","0.05901","0.1457","1.009"
"38","0.04096","0.05851","0.143","1.01"
"39","0.04176","0.0595","0.1404","1.007"
"40","0.04166","0.0595","0.1378","1.01"
"41","0.04256","0.0608","0.1353","1.01"
"42","0.0427","0.06117","0.1328","1.013"
"43","0.04257","0.06081","0.1305","1.01"
"44","0.04366","0.06235","0.1281","1.01"
"45","0.04393","0.0625","0.1258","1.006"
"46","0.04371","0.06224","0.1235","1.007"
"47","0.04434","0.06313","0.1212","1.007"
"48","0.04468","0.06362","0.119","1.007"
