SDS;tijd in min;hoek;error
0,05;0,5;26,4;0,04
0,05;3;32,4;0,04
0,05;6;31,8;0,02
0,05;9;31,4;0,05
0,05;12;31,4;0,06
0,05;15;31,1;0,04
0,05;20;31,2;0,01
0,05;60;30,7;0,07
0,1;0,5;25,4;0,1
0,1;3;23,6;0,02
0,1;6;22,4;0,02
0,1;9;21,8;0,02
0,1;12;21,5;0,05
0,1;15;21,1;0,07
0,1;20;20,8;0,01
0,1;60;20,3;0,05
0,5;0,5;25,6;0,16
0,5;3;21;0,01
0,5;6;20;0,01
0,5;9;19,4;0,06
0,5;12;19,2;0,05
0,5;15;18,8;0,04
0,5;20;18,7;0,01
0,5;60;18,3;0,01
1;0,5;20,6;0,09
1;3;22,1;0,01
1;6;21,2;0,01
1;9;20,8;0,01
1;12;20,5;0,01
1;15;20,3;0,01
1;20;20;0,01
1;60;19,6;0,11
3;0,5;19,8;0,19
3;3;12;0,28
3;6;10,9;0,91
3;9;8,8;1,37
3;12;8,4;1,56
3;15;9,3;0,69
3;20;9,5;0,31
3;60;8,6;0,33
5;0,5;23,7;0,13
5;3;8,4;1,99
5;6;9;0,26
5;9;8,7;0,24
5;12;8,5;0,19
5;15;7,8;1,25
5;20;8,4;0,13
5;60;7,6;0,17
7;0,5;21;0,07
7;3;9,3;0,25
7;6;7,3;1,71
7;9;8,6;0,01
7;12;7,6;1,15
7;15;7,7;1,11
7;20;7,9;0,25
7;60;6,9;0,09
